,z,cluster
12609,0,7
12421,0,7
17954,0,7
18064,0,7
12489,0,7
13037,0,7
13150,0,7
1311,0,7
17793,0,7
13017,0,7
12766,0,7
1943,0,7
13182,0,7
1833,0,7
1193,0,7
18029,0,7
12701,0,7
12647,0,7
12703,0,7
12850,0,7
12577,0,7
1203,0,7
12531,0,7
18080,0,7
1866,0,7
13052,0,7
13087,0,7
12846,0,7
12517,0,7
12287,0,7
17961,0,7
13173,0,7
29092,0,7
12484,0,7
12614,0,7
1860,0,7
12883,0,7
12920,0,7
13033,0,7
12722,0,7
13061,0,7
1299,0,7
12832,0,7
9853,1,7
13012,0,7
13109,0,7
1805,0,7
18093,0,7
12447,0,7
18085,0,7
16048,0,7
12479,0,7
12450,0,7
13200,0,7
12742,0,7
13157,0,7
12458,0,7
18027,0,7
18055,0,7
13084,0,7
17992,0,7
12246,0,7
12933,0,7
13075,0,7
12866,0,7
12391,0,7
12909,0,7
18003,0,7
1187,0,7
18044,0,7
12952,0,7
12268,0,7
12590,0,7
13090,0,7
12948,0,7
28945,0,7
18017,0,7
13005,0,7
18001,0,7
18063,0,7
12494,0,7
12406,0,7
1818,0,7
8394,1,7
12754,0,7
12871,0,7
12591,0,7
12413,0,7
1465,0,7
12656,0,7
12558,0,7
1146,0,7
1846,0,7
17976,0,7
13114,0,7
13175,0,7
12344,0,7
28769,0,7
12910,0,7
17966,0,7
21522,0,7
18088,0,7
12271,0,7
1276,0,7
13135,0,7
12540,0,7
13011,0,7
18082,0,7
1198,0,7
18010,0,7
13098,0,7
18016,0,7
12836,0,7
12737,0,7
1210,0,7
27992,1,7
12930,0,7
18043,0,7
18286,0,7
16075,0,7
12261,0,7
12270,0,7
18206,0,7
17967,0,7
1186,0,7
12333,0,7
12456,0,7
13031,0,7
12751,0,7
12595,0,7
12283,0,7
12281,0,7
13088,0,7
17989,0,7
12778,0,7
12455,0,7
12852,0,7
12353,0,7
12814,0,7
18111,0,7
1194,0,7
1174,0,7
13091,0,7
12764,0,7
18113,0,7
13145,0,7
12970,0,7
18098,0,7
12880,0,7
17948,0,7
12728,0,7
12243,0,7
13162,0,7
18087,0,7
12826,0,7
12445,0,7
12714,0,7
12651,0,7
18117,0,7
12237,0,7
1313,0,7
1389,0,7
12444,0,7
18118,0,7
12307,0,7
12255,0,7
12841,0,7
12376,0,7
12349,0,7
12412,0,7
12971,0,7
12325,0,7
1213,0,7
13256,0,7
13059,0,7
1175,0,7
12266,0,7
1078,0,7
17982,0,7
1868,0,7
13137,0,7
12239,0,7
12592,0,7
17978,0,7
12414,0,7
1189,0,7
12673,0,7
17947,0,7
12825,0,7
12418,0,7
12827,0,7
12603,0,7
13174,0,7
12955,0,7
12304,0,7
12932,0,7
12600,0,7
12537,0,7
12584,0,7
1305,0,7
1862,0,7
12478,0,7
1182,0,7
16834,0,7
12459,0,7
12507,0,7
13007,0,7
12685,0,7
12263,0,7
18104,0,7
12804,0,7
13196,0,7
18078,0,7
12549,0,7
13202,0,7
12536,0,7
12884,0,7
16113,0,7
12368,0,7
12896,0,7
1144,0,7
12868,0,7
18091,0,7
12556,0,7
28948,0,7
12449,0,7
12395,0,7
12726,0,7
1793,0,7
12588,0,7
12740,0,7
12423,0,7
12277,0,7
18048,0,7
13222,0,7
13149,0,7
12397,0,7
12684,0,7
16194,0,7
17952,0,7
18190,0,7
13151,0,7
1834,0,7
16101,0,7
12946,0,7
12743,0,7
1315,0,7
12720,0,7
13082,0,7
13108,0,7
1814,0,7
1388,0,7
1285,0,7
12663,0,7
1303,0,7
13254,0,7
12862,0,7
12460,0,7
12375,0,7
12870,0,7
1844,0,7
13164,0,7
17977,0,7
16198,0,7
18121,0,7
13068,0,7
13160,0,7
18006,0,7
18015,0,7
28378,0,7
13009,0,7
12637,0,7
12331,0,7
1281,0,7
18105,0,7
12687,0,7
12340,0,7
1845,0,7
21523,0,7
12312,0,7
18042,0,7
13232,0,7
18013,0,7
13238,0,7
29093,0,7
12303,0,7
13272,0,7
16047,0,7
13056,0,7
12771,0,7
16209,0,7
12906,0,7
1848,0,7
12252,0,7
12295,0,7
36793,0,7
1854,0,7
1288,0,7
12516,0,7
12875,0,7
12628,0,7
12650,0,7
12585,0,7
12965,0,7
13147,0,7
1847,0,7
13190,0,7
17972,0,7
13003,0,7
13824,0,7
12950,0,7
12501,0,7
12389,0,7
12893,0,7
13248,0,7
13267,0,7
