,z,cluster
28139,0,0
19395,1,0
21630,0,0
35529,1,0
3021,1,0
638,0,0
18411,1,0
22852,0,0
9050,1,0
6923,1,0
25996,1,0
27901,0,0
17106,0,0
9831,1,0
28383,1,0
12187,0,0
34607,1,0
8868,1,0
3803,0,0
3372,1,0
5801,1,0
29393,1,0
9597,0,0
6984,1,0
22076,0,0
3154,1,0
26167,1,0
8000,0,0
9562,1,0
9577,0,0
14244,1,0
26034,1,0
22274,0,0
13644,1,0
24941,1,0
6707,0,0
1854,1,0
25794,1,0
7900,0,0
14135,1,0
25903,1,0
20849,1,0
28238,1,0
11044,0,0
10471,0,0
6218,1,0
9493,1,0
20419,0,0
35575,1,0
3676,1,0
19683,1,0
20391,0,0
28524,0,0
10896,0,0
2126,1,0
27596,1,0
7601,1,0
35250,1,0
17203,0,0
20627,1,0
2091,1,0
25213,1,0
2002,0,0
8697,1,0
37636,1,0
2027,0,0
27180,1,0
25796,1,0
39749,0,0
23922,1,0
10238,1,0
14927,1,0
38288,1,0
9637,1,0
29676,1,0
11685,1,0
7280,1,0
3483,0,0
24502,1,0
9452,1,0
15606,1,0
33882,1,0
1879,0,0
14174,1,0
12711,1,0
24168,0,0
21642,0,0
34444,1,0
11497,0,0
7506,1,0
32580,0,0
38460,1,0
2064,0,0
10748,1,0
26292,0,0
16798,1,0
11644,0,0
5147,1,0
21478,0,0
37555,1,0
10361,0,0
22895,0,0
29372,1,0
9979,1,0
23499,1,0
9091,1,0
19499,1,0
8656,0,0
7722,0,0
29172,1,0
29018,0,0
36798,1,0
11184,1,0
7348,1,0
13604,1,0
35192,1,0
39792,0,0
23958,1,0
29281,1,0
26336,1,0
22584,1,0
39443,0,0
21711,0,0
8451,0,0
2046,0,0
9398,0,0
36668,1,0
25206,1,0
2287,0,0
25145,0,0
14153,1,0
1041,0,0
21929,0,0
26634,0,0
22787,1,0
7305,1,0
3922,1,0
16895,0,0
38627,1,0
1977,1,0
24540,0,0
2468,0,0
4887,1,0
29651,1,0
29654,1,0
3952,1,0
8779,0,0
2988,0,0
4353,1,0
8878,0,0
29051,0,0
23806,0,0
16722,1,0
7621,1,0
38576,1,0
652,0,0
1506,1,0
3671,0,0
26183,0,0
2443,1,0
17372,1,0
13780,1,0
5383,1,0
4527,1,0
34434,1,0
16864,1,0
22921,1,0
11869,1,0
28193,0,0
28751,0,0
3582,0,0
6643,1,0
7714,0,0
8921,0,0
33632,1,0
24515,0,0
2500,0,0
6479,1,0
24042,1,0
7857,0,0
17056,1,0
11388,0,0
28829,0,0
7968,0,0
8552,0,0
7790,0,0
1197,1,0
25164,0,0
22479,1,0
18644,1,0
11095,1,0
10564,0,0
28746,1,0
26289,1,0
27169,1,0
10622,1,0
4999,1,0
25387,0,0
25556,0,0
25542,1,0
9557,0,0
9284,1,0
2366,1,0
13489,1,0
465,0,0
28888,0,0
4761,0,0
37157,1,0
7371,1,0
5755,1,0
3170,1,0
21384,0,0
23597,0,0
1084,1,0
14512,1,0
29073,1,0
22957,1,0
29919,1,0
28373,1,0
13904,1,0
12236,1,0
36092,1,0
7541,1,0
26462,1,0
23529,1,0
26780,1,0
24925,1,0
14430,1,0
22998,0,0
2488,0,0
34454,1,0
2190,0,0
2630,1,0
16455,1,0
8807,0,0
26172,0,0
16824,1,0
11880,1,0
28839,1,0
21202,1,0
7404,1,0
13626,1,0
26695,1,0
13473,1,0
12576,1,0
11839,1,0
22569,0,0
19186,1,0
21312,0,0
28447,1,0
27727,1,0
34408,1,0
12063,1,0
21453,0,0
38176,1,0
27414,0,0
14219,1,0
3217,1,0
22708,0,0
11081,1,0
27653,1,0
11174,1,0
23829,1,0
34666,1,0
1705,0,0
2568,0,0
5834,1,0
2140,0,0
24225,0,0
17108,0,0
38637,1,0
3666,0,0
2331,0,0
7027,0,0
22595,0,0
11425,1,0
26930,0,0
39624,0,0
26524,1,0
29602,1,0
13134,1,0
5414,1,0
23702,1,0
19924,1,0
19014,1,0
11599,0,0
2227,1,0
24868,1,0
20593,1,0
34249,1,0
8978,1,0
22174,0,0
700,1,0
24385,0,0
29993,1,0
22364,0,0
16924,0,0
97,0,0
10793,0,0
1570,0,0
7593,1,0
15741,1,0
5703,1,0
3319,1,0
9512,0,0
10949,0,0
9927,0,0
23429,0,0
11815,1,0
24119,0,0
6553,1,0
14407,1,0
740,0,0
10693,0,0
4620,1,0
25267,0,0
27467,0,0
16281,1,0
10755,0,0
21029,0,0
20511,1,0
27118,1,0
1258,1,0
27189,0,0
10851,1,0
5103,1,0
16592,1,0
917,1,0
27713,1,0
9081,0,0
28902,1,0
14954,1,0
1695,1,0
22402,0,0
9791,1,0
21233,0,0
17743,1,0
6800,0,0
13337,1,0
9310,1,0
22726,0,0
17146,0,0
8598,1,0
22591,1,0
20660,0,0
29787,1,0
3058,1,0
38532,1,0
7686,1,0
8573,0,0
18632,1,0
7897,1,0
5590,1,0
35368,1,0
746,0,0
12403,1,0
4841,1,0
37377,1,0
8556,0,0
22898,0,0
24143,0,0
19811,1,0
21676,1,0
21236,0,0
2878,1,0
3628,0,0
7031,1,0
17451,1,0
18138,1,0
10703,1,0
7803,1,0
25701,1,0
29954,1,0
20528,1,0
17048,1,0
8297,1,0
37880,1,0
1400,0,0
3361,1,0
6995,1,0
35905,1,0
1848,1,0
11082,1,0
9441,0,0
23476,0,0
851,1,0
4049,1,0
667,0,0
7453,1,0
19704,1,0
24012,0,0
25261,0,0
35410,1,0
3815,1,0
37382,1,0
16266,1,0
8103,0,0
13894,1,0
11360,1,0
3401,0,0
36743,1,0
8171,0,0
27291,1,0
26929,0,0
10571,1,0
39989,0,0
27121,1,0
8069,0,0
18678,1,0
5374,1,0
19574,1,0
28689,0,0
11340,0,0
18771,1,0
28051,1,0
28452,1,0
18918,1,0
6788,0,0
15180,1,0
2690,1,0
25483,0,0
6772,1,0
6678,0,0
2326,0,0
18433,1,0
4328,1,0
29183,1,0
17624,1,0
16431,1,0
3836,1,0
8696,0,0
26305,1,0
1249,1,0
17837,1,0
22976,0,0
9129,1,0
15784,1,0
23561,1,0
22530,1,0
29040,1,0
9989,1,0
22478,0,0
12002,1,0
8747,1,0
20916,0,0
25161,0,0
25319,1,0
4538,1,0
29131,1,0
15535,1,0
21536,0,0
19131,1,0
35207,1,0
18576,1,0
29430,1,0
2124,1,0
22925,0,0
22258,1,0
9945,1,0
753,0,0
9949,0,0
9742,1,0
9362,0,0
15332,1,0
29041,0,0
6971,0,0
28006,0,0
16686,1,0
38608,1,0
23668,1,0
39113,0,0
27291,0,0
10515,0,0
28566,1,0
13739,1,0
1180,1,0
2692,1,0
19402,1,0
20840,0,0
17033,0,0
7881,0,0
9020,0,0
3180,1,0
27103,0,0
8290,0,0
39793,0,0
24534,1,0
9714,1,0
26704,0,0
8150,1,0
27133,1,0
17654,1,0
28447,0,0
17018,1,0
14914,1,0
22876,0,0
18029,1,0
11344,0,0
10394,1,0
29107,1,0
22296,1,0
11347,0,0
7347,1,0
37723,1,0
36797,1,0
20945,1,0
444,1,0
16350,1,0
9372,0,0
16745,1,0
9304,0,0
4510,1,0
22149,0,0
26541,0,0
12828,1,0
3087,0,0
3716,0,0
26590,0,0
21005,1,0
21705,0,0
1670,0,0
10541,0,0
11977,0,0
15147,1,0
15881,1,0
6230,1,0
13814,1,0
8535,0,0
11338,1,0
12438,1,0
27101,0,0
8666,1,0
39407,0,0
24596,1,0
24430,1,0
15932,1,0
3222,1,0
3359,0,0
12086,0,0
27888,0,0
3847,0,0
3114,1,0
38487,1,0
3719,1,0
2041,1,0
28135,0,0
15814,1,0
15554,1,0
21684,0,0
25326,1,0
2614,1,0
8625,0,0
11241,1,0
8917,0,0
22923,1,0
20713,1,0
21143,0,0
4973,1,0
593,0,0
35261,1,0
27682,0,0
26885,1,0
9377,1,0
11909,1,0
38994,0,0
7218,0,0
6799,1,0
10695,1,0
18397,1,0
27238,1,0
27899,1,0
34644,1,0
36709,1,0
22835,0,0
1322,1,0
22027,1,0
4068,1,0
18154,1,0
28787,1,0
37991,1,0
28151,1,0
13584,1,0
12394,1,0
8139,0,0
3689,0,0
28852,1,0
38937,0,0
7606,1,0
34827,1,0
8636,0,0
27262,0,0
23840,0,0
2364,1,0
23431,0,0
24234,1,0
34869,1,0
38237,1,0
18519,1,0
3537,0,0
17746,1,0
24796,1,0
26659,0,0
23148,1,0
24697,0,0
15571,1,0
17173,1,0
11705,1,0
19210,1,0
3409,1,0
33134,1,0
39498,0,0
11158,1,0
4171,1,0
34705,1,0
23742,1,0
6994,0,0
8811,0,0
29062,1,0
20366,1,0
9703,0,0
3436,1,0
14691,1,0
12581,1,0
22018,0,0
27662,0,0
22674,0,0
23889,0,0
11524,1,0
23113,1,0
29477,1,0
28056,1,0
9432,1,0
11292,1,0
23813,0,0
5220,1,0
14742,1,0
8841,0,0
17487,1,0
36629,1,0
18474,1,0
25760,0,0
14159,1,0
23448,0,0
28547,0,0
26677,1,0
21903,0,0
9106,1,0
12917,1,0
38622,1,0
38597,1,0
9537,1,0
25484,0,0
9835,0,0
7805,0,0
2527,1,0
21654,0,0
11997,0,0
15974,1,0
4941,1,0
10882,0,0
2241,1,0
20330,1,0
37313,1,0
16377,1,0
39456,0,0
39953,0,0
3067,0,0
16016,1,0
13409,1,0
11658,1,0
17249,1,0
7933,0,0
37037,1,0
14214,1,0
7544,1,0
12536,1,0
8443,0,0
4182,1,0
3649,1,0
13421,1,0
10440,0,0
21146,1,0
24754,0,0
4356,1,0
23092,1,0
22463,1,0
14666,1,0
23158,1,0
10370,1,0
10979,1,0
10615,1,0
38151,1,0
24261,1,0
19146,1,0
3312,1,0
29345,1,0
24080,0,0
13053,1,0
7955,1,0
2069,1,0
8002,0,0
16028,1,0
2591,0,0
1471,0,0
8180,1,0
1982,1,0
3991,1,0
21356,0,0
8050,1,0
22044,0,0
6554,1,0
27643,1,0
3924,0,0
10638,1,0
2380,1,0
38497,0,0
29213,1,0
2626,1,0
39275,0,0
10724,1,0
17745,1,0
22941,0,0
11050,0,0
28861,1,0
6486,1,0
8690,1,0
13736,1,0
3597,1,0
28290,0,0
12156,0,0
2485,0,0
23972,1,0
39510,0,0
22622,0,0
1592,0,0
39882,0,0
33866,1,0
3674,1,0
5866,1,0
29726,1,0
2462,1,0
24023,1,0
36739,1,0
9433,0,0
23003,1,0
17242,1,0
13955,1,0
6843,1,0
26956,0,0
21829,0,0
22777,1,0
11054,1,0
11511,0,0
28604,1,0
20688,1,0
22575,1,0
14216,1,0
20801,1,0
20607,1,0
18260,1,0
15618,1,0
29510,1,0
6156,1,0
15429,1,0
34763,1,0
26464,1,0
17099,0,0
29074,1,0
10555,1,0
27455,1,0
1639,0,0
25498,1,0
13446,1,0
7308,1,0
20652,1,0
38561,1,0
2440,1,0
34676,1,0
8317,0,0
2239,0,0
22056,0,0
15971,1,0
21057,0,0
26762,0,0
9348,0,0
3891,1,0
8646,0,0
37827,1,0
19888,1,0
19483,1,0
884,0,0
10354,0,0
38573,1,0
23949,0,0
26681,0,0
28205,0,0
12517,1,0
17119,1,0
16971,0,0
11848,1,0
11900,0,0
13182,1,0
22434,0,0
14785,1,0
35706,1,0
38329,1,0
3006,0,0
22972,1,0
668,0,0
11340,1,0
24816,1,0
22026,0,0
23959,1,0
20959,0,0
3664,0,0
21293,0,0
6108,1,0
12405,1,0
23469,1,0
21495,0,0
7857,1,0
16413,1,0
2018,1,0
7662,1,0
28831,1,0
2721,0,0
5382,1,0
39994,0,0
27362,0,0
37691,1,0
6874,1,0
2627,0,0
24228,0,0
23440,1,0
3863,1,0
9915,1,0
27882,0,0
21131,0,0
20758,1,0
6589,1,0
18685,1,0
5556,1,0
11169,1,0
39819,0,0
20850,0,0
15058,1,0
22469,1,0
28872,1,0
24921,1,0
25030,1,0
26339,1,0
38716,1,0
22927,1,0
22213,0,0
35243,1,0
16955,1,0
3050,0,0
25183,1,0
24337,0,0
5769,1,0
11899,0,0
14560,1,0
37549,1,0
29572,1,0
6587,0,0
8590,0,0
6187,1,0
5733,1,0
19068,1,0
9366,0,0
7324,1,0
26751,1,0
16614,1,0
9670,0,0
1811,1,0
38463,1,0
2844,1,0
15751,1,0
38815,1,0
1616,1,0
3377,0,0
28853,0,0
14572,1,0
27590,0,0
12508,1,0
11981,1,0
670,0,0
25190,0,0
627,0,0
14685,1,0
11698,1,0
39522,0,0
4659,1,0
8898,1,0
34496,1,0
3597,0,0
15670,1,0
3145,0,0
11355,1,0
4450,1,0
15923,1,0
4676,1,0
26264,0,0
24606,1,0
20425,0,0
8163,0,0
13725,1,0
36945,1,0
28045,1,0
8279,0,0
35453,1,0
20400,1,0
13937,1,0
20945,0,0
7505,1,0
9153,0,0
29694,1,0
17177,0,0
25188,1,0
23229,1,0
37913,1,0
13599,1,0
1517,0,0
9839,0,0
23706,0,0
39983,0,0
14489,1,0
17314,1,0
11914,0,0
27109,0,0
22281,1,0
6812,0,0
26035,1,0
24452,0,0
19980,1,0
16593,1,0
24307,0,0
21681,1,0
18266,1,0
7743,1,0
24797,0,0
24128,1,0
13373,1,0
14813,1,0
27540,0,0
5344,1,0
13235,1,0
27745,1,0
3522,1,0
8659,0,0
12813,1,0
36047,1,0
6956,1,0
18600,1,0
3996,1,0
11712,0,0
26688,1,0
979,0,0
28998,1,0
8689,0,0
3789,0,0
34678,1,0
25062,1,0
22103,1,0
28417,0,0
7133,1,0
26545,0,0
10437,1,0
25420,0,0
3525,1,0
13512,1,0
35773,1,0
9533,0,0
3288,1,0
24919,0,0
17059,0,0
19338,1,0
23062,0,0
20404,1,0
13589,1,0
34620,1,0
9815,1,0
20931,0,0
7017,0,0
7723,0,0
7817,1,0
14883,1,0
10416,0,0
7707,1,0
20389,1,0
5468,1,0
2968,1,0
8010,0,0
21031,1,0
27506,1,0
24864,0,0
3402,0,0
39848,0,0
8755,1,0
1086,1,0
25995,1,0
33094,1,0
642,0,0
11948,1,0
1889,0,0
5498,1,0
1158,1,0
3970,0,0
17371,1,0
11334,1,0
10986,1,0
34217,1,0
13059,1,0
2054,0,0
20747,1,0
21489,0,0
13536,1,0
27334,0,0
24899,1,0
26998,1,0
211,0,0
10929,0,0
13985,1,0
37987,1,0
5536,1,0
11762,1,0
16147,1,0
27392,1,0
3250,0,0
11519,0,0
6466,1,0
17872,1,0
9308,0,0
26764,1,0
6671,1,0
8715,1,0
9316,0,0
36225,1,0
29668,1,0
6522,0,0
25128,0,0
27348,1,0
29973,1,0
8019,1,0
26033,0,0
17021,1,0
8844,1,0
1219,1,0
16057,1,0
8125,0,0
22170,0,0
8733,0,0
8893,1,0
37976,1,0
37779,1,0
11751,1,0
3415,1,0
18137,1,0
31798,0,0
25970,1,0
27696,0,0
29154,1,0
5648,1,0
16620,1,0
5850,1,0
22470,1,0
2564,1,0
11186,1,0
4583,1,0
11271,1,0
39343,1,0
20791,1,0
29434,1,0
11938,1,0
11691,1,0
19140,1,0
17311,1,0
23926,0,0
13416,1,0
23724,1,0
1186,1,0
16341,1,0
204,0,0
6294,1,0
12014,1,0
7647,1,0
17376,1,0
39541,0,0
26101,0,0
35248,1,0
20962,1,0
25096,1,0
5580,1,0
5269,1,0
6559,0,0
25564,1,0
12331,1,0
23296,1,0
3572,1,0
3369,0,0
11884,1,0
28122,0,0
15300,1,0
24599,0,0
15187,1,0
676,1,0
12362,1,0
19959,1,0
17146,1,0
17815,1,0
39745,0,0
39351,0,0
24581,0,0
26281,1,0
26635,1,0
14877,1,0
757,0,0
1987,0,0
39396,0,0
24051,1,0
22078,0,0
13414,1,0
38128,1,0
21699,1,0
35006,1,0
4071,1,0
12840,1,0
28113,1,0
38335,1,0
4299,1,0
39276,0,0
22944,0,0
876,0,0
8238,0,0
17807,1,0
22560,0,0
17384,1,0
11506,0,0
24525,1,0
26272,1,0
21079,1,0
734,0,0
21134,1,0
25488,1,0
1853,1,0
16101,1,0
16293,1,0
7938,1,0
20349,1,0
16997,0,0
11193,0,0
10663,1,0
35252,1,0
17041,0,0
2370,1,0
26653,1,0
17971,1,0
28921,1,0
10443,1,0
1402,1,0
15641,1,0
24028,1,0
27309,0,0
23196,1,0
25233,0,0
9730,0,0
35123,1,0
2560,0,0
10356,1,0
21603,0,0
12722,1,0
17192,1,0
13367,1,0
19421,1,0
21232,0,0
9941,1,0
33946,1,0
8014,1,0
24366,1,0
19412,1,0
19463,1,0
11272,1,0
4754,1,0
772,1,0
5348,1,0
21358,0,0
27906,1,0
21243,0,0
9804,0,0
28797,0,0
24221,1,0
19814,1,0
6958,0,0
1264,1,0
21317,0,0
