,z,cluster
19667,0,4
19684,0,4
19852,0,4
19709,0,4
19574,0,4
19354,0,4
18515,0,4
19347,0,4
18463,0,4
18362,0,4
19878,0,4
18702,0,4
18578,0,4
19420,0,4
19355,0,4
19439,0,4
18652,0,4
18414,0,4
19379,0,4
18404,0,4
19513,0,4
18426,0,4
19459,0,4
19808,0,4
19346,0,4
19069,0,4
18602,0,4
18408,0,4
18505,0,4
19552,0,4
19502,0,4
19781,0,4
18367,0,4
18646,0,4
18267,0,4
19780,0,4
18622,0,4
18281,0,4
18346,0,4
19995,0,4
18712,0,4
19415,0,4
19668,0,4
19783,0,4
19789,0,4
18692,0,4
19559,0,4
18387,0,4
19386,0,4
19628,0,4
19881,0,4
18549,0,4
18506,0,4
18676,0,4
18595,0,4
18255,0,4
19682,0,4
19070,0,4
18249,0,4
19968,0,4
19591,0,4
19730,0,4
18691,0,4
19670,0,4
19595,0,4
18429,0,4
19373,0,4
19557,0,4
19874,0,4
18562,0,4
19000,0,4
19971,0,4
18680,0,4
19345,0,4
19649,0,4
19662,0,4
18553,0,4
19391,0,4
18340,0,4
19639,0,4
19926,0,4
18329,0,4
19820,0,4
18198,0,4
19692,0,4
19810,0,4
19865,0,4
18503,0,4
19924,0,4
18630,0,4
18347,0,4
19741,0,4
18222,0,4
19032,0,4
19048,0,4
19921,0,4
19714,0,4
19631,0,4
18605,0,4
18377,0,4
19483,0,4
18287,0,4
19996,0,4
18338,0,4
18705,0,4
18665,0,4
15923,0,4
19605,0,4
18272,0,4
19664,0,4
19837,0,4
18288,0,4
19462,0,4
18363,0,4
18402,0,4
19551,0,4
18397,0,4
19620,0,4
19720,0,4
19880,0,4
36790,0,4
19555,0,4
19796,0,4
19912,0,4
19802,0,4
18597,0,4
19577,0,4
19784,0,4
18557,0,4
19036,0,4
19860,0,4
19588,0,4
18365,0,4
19831,0,4
18530,0,4
19443,0,4
19905,0,4
19882,0,4
19621,0,4
18670,0,4
19738,0,4
18647,0,4
19888,0,4
19055,0,4
18534,0,4
19484,0,4
18448,0,4
19401,0,4
18364,0,4
19877,0,4
19044,0,4
19775,0,4
18371,0,4
19610,0,4
19002,0,4
19724,0,4
18285,0,4
18559,0,4
18400,0,4
19402,0,4
19468,0,4
19959,0,4
19920,0,4
19722,0,4
18366,0,4
18396,0,4
19974,0,4
19904,0,4
19602,0,4
19365,0,4
19645,0,4
19943,0,4
19909,0,4
18372,0,4
18577,0,4
19900,0,4
18392,0,4
19673,0,4
19685,0,4
19277,0,4
19933,0,4
19911,0,4
19382,0,4
19607,0,4
19703,0,4
18664,0,4
19349,0,4
19961,0,4
18343,0,4
19405,0,4
19879,0,4
19892,0,4
18558,0,4
19622,0,4
19978,0,4
19033,0,4
19700,0,4
18380,0,4
19644,0,4
18491,0,4
19554,0,4
18383,0,4
18342,0,4
18384,0,4
19927,0,4
18687,0,4
18351,0,4
18501,0,4
19324,0,4
19829,0,4
19351,0,4
18667,0,4
19428,0,4
18356,0,4
19674,0,4
