,z,cluster
14180,0,5
16523,0,5
16587,0,5
13863,0,5
13292,0,5
14695,0,5
16562,0,5
15444,0,5
14574,0,5
13968,0,5
15492,0,5
14732,0,5
13878,0,5
13489,0,5
15160,0,5
15328,0,5
15411,0,5
15172,0,5
15484,0,5
14028,0,5
16569,0,5
16558,0,5
15151,0,5
15545,0,5
16823,0,5
14647,0,5
15514,0,5
14547,0,5
16559,0,5
14627,0,5
13544,0,5
13808,0,5
16604,0,5
14381,0,5
14851,0,5
14162,0,5
14181,0,5
14446,0,5
13941,0,5
14907,0,5
16533,0,5
14017,0,5
14438,0,5
14595,0,5
14290,0,5
14216,0,5
15321,0,5
15346,0,5
13485,0,5
15434,0,5
14315,0,5
14786,0,5
15242,0,5
15296,0,5
15523,0,5
13854,0,5
15445,0,5
15368,0,5
13839,0,5
13831,0,5
15237,0,5
13861,0,5
15178,0,5
14059,0,5
14894,0,5
15451,0,5
14212,0,5
15309,0,5
13543,0,5
15262,0,5
14592,0,5
16727,0,5
13473,0,5
16807,0,5
13875,0,5
14852,0,5
14042,0,5
14505,0,5
14422,0,5
15207,0,5
14229,0,5
14160,0,5
15347,0,5
15132,0,5
15587,0,5
14045,0,5
14274,0,5
14333,0,5
15414,0,5
13553,0,5
14348,0,5
16571,0,5
16531,0,5
14890,0,5
14755,0,5
14225,0,5
15063,0,5
15288,0,5
14009,0,5
13952,0,5
14741,0,5
14364,0,5
14850,0,5
14469,0,5
14607,0,5
14187,0,5
15232,0,5
15463,0,5
14544,0,5
14118,0,5
16509,0,5
15310,0,5
14876,0,5
15525,0,5
15276,0,5
15080,0,5
14080,0,5
13484,0,5
14687,0,5
14582,0,5
14717,0,5
14165,0,5
16574,0,5
15502,0,5
14744,0,5
14389,0,5
14070,0,5
14871,0,5
15258,0,5
14034,0,5
14900,0,5
15248,0,5
15043,0,5
14742,0,5
15443,0,5
15435,0,5
13549,0,5
13966,0,5
16552,0,5
14053,0,5
14598,0,5
14520,0,5
14426,0,5
13919,0,5
14257,0,5
14402,0,5
14771,0,5
14949,0,5
14023,0,5
14813,0,5
13847,0,5
13897,0,5
14305,0,5
14073,0,5
14519,0,5
15367,0,5
16083,0,5
15334,0,5
14721,0,5
15154,0,5
14242,0,5
14123,0,5
14394,0,5
14128,0,5
15240,0,5
14738,0,5
14725,0,5
15540,0,5
16748,0,5
15266,0,5
15108,0,5
15564,0,5
14149,0,5
14200,0,5
13805,0,5
14167,0,5
14401,0,5
16059,0,5
14221,0,5
13548,0,5
14112,0,5
16518,0,5
14130,0,5
15251,0,5
15366,0,5
14220,0,5
13478,0,5
15416,0,5
15374,0,5
13554,0,5
14532,0,5
14342,0,5
15044,0,5
16602,0,5
15317,0,5
15415,0,5
14332,0,5
15299,0,5
13843,0,5
15204,0,5
14344,0,5
15216,0,5
15136,0,5
14134,0,5
15119,0,5
16477,0,5
15459,0,5
14038,0,5
15567,0,5
14400,0,5
14252,0,5
15447,0,5
15191,0,5
14516,0,5
16814,0,5
14298,0,5
16511,0,5
15253,0,5
15427,0,5
14072,0,5
14429,0,5
13298,0,5
14194,0,5
14833,0,5
14091,0,5
15517,0,5
15430,0,5
14047,0,5
13924,0,5
14295,0,5
16575,0,5
16793,0,5
13921,0,5
14404,0,5
14127,0,5
16762,0,5
15595,0,5
16539,0,5
15140,0,5
13904,0,5
14554,0,5
14354,0,5
15244,0,5
15453,0,5
16753,0,5
16553,0,5
15215,0,5
14273,0,5
14183,0,5
13481,0,5
15319,0,5
15115,0,5
14246,0,5
15550,0,5
15135,0,5
15530,0,5
14152,0,5
13881,0,5
15112,0,5
14350,0,5
13838,0,5
15529,0,5
14787,0,5
13440,0,5
13991,0,5
14475,0,5
15164,0,5
15183,0,5
14959,0,5
14337,0,5
15234,0,5
15039,0,5
16759,0,5
13958,0,5
14542,0,5
14925,0,5
14015,0,5
15110,0,5
14388,0,5
13551,0,5
14751,0,5
13790,0,5
16480,0,5
14482,0,5
13688,0,5
14917,0,5
14633,0,5
15163,0,5
14916,0,5
14032,0,5
14258,0,5
15269,0,5
13727,0,5
13867,0,5
15467,0,5
14512,0,5
14311,0,5
13936,0,5
15560,0,5
13951,0,5
13922,0,5
14969,0,5
13469,0,5
13836,0,5
15271,0,5
16589,0,5
15169,0,5
14055,0,5
14958,0,5
14569,0,5
14895,0,5
15229,0,5
14105,0,5
14561,0,5
14356,0,5
16594,0,5
14363,0,5
14559,0,5
14260,0,5
16796,0,5
15396,0,5
15061,0,5
13970,0,5
14213,0,5
14957,0,5
15571,0,5
16505,0,5
14736,0,5
14848,0,5
15200,0,5
14654,0,5
14567,0,5
14092,0,5
14163,0,5
14005,0,5
15177,0,5
16593,0,5
14421,0,5
14620,0,5
13721,0,5
14908,0,5
14285,0,5
15285,0,5
15593,0,5
15380,0,5
15304,0,5
14135,0,5
15302,0,5
15607,0,5
14506,0,5
15225,0,5
15228,0,5
14040,0,5
13547,0,5
13927,0,5
15086,0,5
13895,0,5
15520,0,5
13918,0,5
14599,0,5
14508,0,5
14611,0,5
14668,0,5
14486,0,5
16580,0,5
16784,0,5
15205,0,5
14525,0,5
16524,0,5
14637,0,5
13499,0,5
14649,0,5
13546,0,5
15343,0,5
13482,0,5
14293,0,5
13894,0,5
14857,0,5
14883,0,5
13996,0,5
14968,0,5
15227,0,5
14485,0,5
