,z,cluster
13289,0,1
14789,0,1
15681,0,1
17770,0,1
17489,0,1
13747,0,1
16110,0,1
15696,0,1
15708,0,1
16289,0,1
16819,0,1
1153,0,1
17910,0,1
15926,0,1
16440,0,1
18234,0,1
16455,0,1
15995,0,1
16354,0,1
17757,0,1
14809,0,1
15792,0,1
17506,0,1
13669,0,1
14412,0,1
16392,0,1
17739,0,1
13347,0,1
14975,0,1
29514,0,1
16339,0,1
17449,0,1
14794,0,1
13796,0,1
15683,0,1
16063,0,1
17937,0,1
14777,0,1
13384,0,1
17504,0,1
16169,0,1
16236,0,1
16022,0,1
17940,0,1
13611,0,1
17899,0,1
16302,0,1
15925,0,1
16395,0,1
15669,0,1
16244,0,1
16458,0,1
15757,0,1
1065,0,1
17466,0,1
15643,0,1
16135,0,1
15728,0,1
17571,0,1
17262,0,1
15876,0,1
15910,0,1
1115,0,1
16390,0,1
17511,0,1
16778,0,1
17510,0,1
16783,0,1
17769,0,1
15991,0,1
17403,0,1
17791,0,1
15620,0,1
15996,0,1
16357,0,1
17633,0,1
16172,0,1
1137,0,1
17718,0,1
17526,0,1
13740,0,1
14494,0,1
17821,0,1
16269,0,1
16173,0,1
13757,0,1
16187,0,1
13645,0,1
15785,0,1
13766,0,1
13638,0,1
13295,0,1
17456,0,1
14812,0,1
15828,0,1
15793,0,1
13288,0,1
13290,0,1
1086,0,1
16141,0,1
17676,0,1
17844,0,1
15980,0,1
16066,0,1
16274,0,1
14816,0,1
14492,0,1
15803,0,1
16364,0,1
17578,0,1
17926,0,1
16454,0,1
16409,0,1
15895,0,1
17266,0,1
16291,0,1
16280,0,1
17561,0,1
14964,0,1
15898,0,1
16341,0,1
18233,0,1
1097,0,1
16231,0,1
16147,0,1
1873,0,1
13352,0,1
17807,0,1
13648,0,1
17923,0,1
15956,0,1
17553,0,1
17905,0,1
15831,0,1
16742,0,1
17772,0,1
15697,0,1
15766,0,1
17651,0,1
16410,0,1
1119,0,1
16027,0,1
15913,0,1
1112,0,1
15856,0,1
15865,0,1
18139,0,1
17518,0,1
14692,0,1
16191,0,1
16044,0,1
15928,0,1
16315,0,1
17492,0,1
15887,0,1
13454,0,1
13307,0,1
17880,0,1
13643,0,1
1105,0,1
16235,0,1
13690,0,1
13320,0,1
14955,0,1
14828,0,1
17555,0,1
17462,0,1
17736,0,1
13409,0,1
15904,0,1
1095,0,1
15661,0,1
13402,0,1
17563,0,1
17624,0,1
17797,0,1
1780,0,1
16211,0,1
16020,0,1
16391,0,1
16417,0,1
14770,0,1
15720,0,1
15945,0,1
17932,0,1
14965,0,1
14139,0,1
15740,0,1
14137,0,1
17939,0,1
1114,0,1
1090,0,1
17733,0,1
16774,0,1
15997,0,1
13598,0,1
15739,0,1
17741,0,1
17622,0,1
16036,0,1
16156,0,1
1084,0,1
17845,0,1
17557,0,1
15752,0,1
17841,0,1
15918,0,1
17767,0,1
17545,0,1
16750,0,1
16401,0,1
16337,0,1
17690,0,1
15699,0,1
16109,0,1
17878,0,1
17848,0,1
15067,0,1
17800,0,1
16430,0,1
17631,0,1
14686,0,1
16062,0,1
13642,0,1
16046,0,1
15791,0,1
13456,0,1
15750,0,1
16279,0,1
16140,0,1
15722,0,1
17552,0,1
15964,0,1
17853,0,1
17436,0,1
15874,0,1
14819,0,1
15789,0,1
13414,0,1
16298,0,1
17637,0,1
13612,0,1
15999,0,1
15687,0,1
17437,0,1
15841,0,1
16432,0,1
16411,0,1
17454,0,1
16232,0,1
18143,0,1
17934,0,1
15056,0,1
14822,0,1
17941,0,1
16031,0,1
16348,0,1
17581,0,1
13315,0,1
15919,0,1
14956,0,1
15808,0,1
16788,0,1
16034,0,1
17903,0,1
13416,0,1
15843,0,1
15983,0,1
15951,0,1
17912,0,1
13737,0,1
17653,0,1
17789,0,1
16317,0,1
15975,0,1
15704,0,1
13679,0,1
17740,0,1
17635,0,1
15847,0,1
16007,0,1
13776,0,1
13782,0,1
18187,0,1
16096,0,1
16226,0,1
16299,0,1
15770,0,1
13783,0,1
16017,0,1
17467,0,1
13510,0,1
17463,0,1
16052,0,1
13591,0,1
15890,0,1
15820,0,1
15934,0,1
27987,1,1
17877,0,1
13353,0,1
13404,0,1
1158,0,1
13615,0,1
16293,0,1
16402,0,1
16065,0,1
16314,0,1
16144,0,1
17536,0,1
1107,0,1
16815,0,1
1169,0,1
1082,0,1
15976,0,1
1165,0,1
15754,0,1
13363,0,1
15619,0,1
15859,0,1
13395,0,1
15826,0,1
15079,0,1
18030,0,1
15884,0,1
14470,0,1
13777,0,1
17851,0,1
16324,0,1
17901,0,1
17497,0,1
16418,0,1
13593,0,1
13785,0,1
16421,0,1
15731,0,1
17465,0,1
16319,0,1
16217,0,1
16018,0,1
27998,1,1
17666,0,1
15811,0,1
17714,0,1
15935,0,1
13448,0,1
13405,0,1
13735,0,1
14663,0,1
15864,0,1
17264,0,1
13659,0,1
16126,0,1
17713,0,1
1088,0,1
16828,0,1
16466,0,1
1128,0,1
18106,0,1
16446,0,1
18207,0,1
17890,0,1
17672,0,1
14815,0,1
16139,0,1
17548,0,1
15909,0,1
13736,0,1
16287,0,1
1076,0,1
15914,0,1
17477,0,1
17731,0,1
17584,0,1
15812,0,1
17861,0,1
16386,0,1
17747,0,1
13739,0,1
13821,0,1
27991,1,1
13516,0,1
15603,0,1
13346,0,1
1091,0,1
15990,0,1
15748,0,1
18141,0,1
