,z,cluster
5865,0,8
6114,0,8
5672,0,8
5812,0,8
5133,0,8
5725,0,8
5276,0,8
5138,0,8
5163,0,8
5219,0,8
5306,0,8
5268,0,8
5711,0,8
5943,0,8
5597,0,8
6379,0,8
6388,0,8
5442,0,8
5228,0,8
5632,0,8
5809,0,8
5811,0,8
5687,0,8
5956,0,8
5586,0,8
5601,0,8
5173,0,8
5720,0,8
5708,0,8
5309,0,8
5071,0,8
5237,0,8
5574,0,8
5747,0,8
5583,0,8
5850,0,8
5675,0,8
5726,0,8
5073,0,8
5278,0,8
5286,0,8
5057,0,8
5192,0,8
5975,0,8
5222,0,8
5858,0,8
5444,0,8
5944,0,8
5667,0,8
5190,0,8
5659,0,8
5218,0,8
5643,0,8
5478,0,8
5843,0,8
5111,0,8
5788,0,8
5107,0,8
2772,0,8
5744,0,8
35959,1,8
5690,0,8
5844,0,8
5920,0,8
5183,0,8
5091,0,8
5300,0,8
6356,0,8
6467,0,8
5714,0,8
6322,0,8
5088,0,8
5891,0,8
5139,0,8
5724,0,8
5472,0,8
6155,0,8
5620,0,8
6113,0,8
5454,0,8
5459,0,8
5157,0,8
6030,0,8
5203,0,8
5615,0,8
5752,0,8
5089,0,8
6118,0,8
5330,0,8
5313,0,8
5641,0,8
5123,0,8
5838,0,8
5570,0,8
5295,0,8
5476,0,8
5572,0,8
5501,0,8
5223,0,8
5908,0,8
5768,0,8
5100,0,8
6424,0,8
5582,0,8
5147,0,8
5509,0,8
5121,0,8
5798,0,8
5420,0,8
5038,0,8
5034,0,8
5303,0,8
5221,0,8
5106,0,8
5867,0,8
5425,0,8
5245,0,8
5430,0,8
5933,0,8
5787,0,8
5384,0,8
21754,0,8
6382,0,8
6377,0,8
5087,0,8
5837,0,8
5235,0,8
5241,0,8
5302,0,8
5479,0,8
5243,0,8
5158,0,8
5135,0,8
22533,0,8
5269,0,8
5039,0,8
5257,0,8
5108,0,8
1364,1,8
5508,0,8
5141,0,8
5623,0,8
5603,0,8
5483,0,8
5143,0,8
5616,0,8
5878,0,8
5735,0,8
5604,0,8
5789,0,8
5297,0,8
5272,0,8
