,0,1,2,3,4,5,6,7,8,9,10,11
27889,0.064857,0.104865,0.082103,0.122699,0.123853,0.145725,0.146613,0.063527,0.1350019999999999,0.1057959999999999,0.139113,0.1890609999999999
27889,0.064726,0.111789,0.09802,0.090112,0.103498,0.18562,0.186704,0.073157,0.176781,0.175425,0.156256,0.2175659999999999
29519,0.056678,0.064886,0.078288,0.103748,0.105007,0.170452,0.169498,0.092126,0.194499,0.1045379999999999,0.125924,0.2047
29519,0.06502,0.091995,0.0738989999999999,0.0974869999999999,0.1851,0.106735,0.135091,0.069046,0.241597,0.263876,0.126281,0.214864
4736,0.0552109999999999,0.1048809999999999,0.074975,0.097077,0.151341,0.106266,0.1034099999999999,0.114792,0.159174,0.100538,0.1237979999999999,0.220413
4326,0.05888,0.0982789999999999,0.090178,0.077944,0.099951,0.164737,0.156434,0.1080749999999999,0.127181,0.1072279999999999,0.1325859999999999,0.195167
29284,0.054069,0.11055,0.07321,0.1022879999999999,0.099409,0.1711929999999999,0.153174,0.088922,0.177165,0.114626,0.105084,0.209223
29284,0.045902,0.09584,0.074741,0.0994309999999999,0.161251,0.159091,0.154157,0.070391,0.244116,0.227489,0.116614,0.162991
27892,0.067997,0.1033869999999999,0.0856799999999999,0.1154289999999999,0.111034,0.157972,0.1485,0.068491,0.170771,0.10572,0.143843,0.208998
27892,0.070321,0.075465,0.102331,0.09232,0.10639,0.195628,0.198471,0.073551,0.192388,0.183638,0.174166,0.20873
23238,0.060712,0.099642,0.102668,0.09743,0.1511529999999999,0.1422739999999999,0.144957,0.1141789999999999,0.171768,0.113621,0.165472,0.206488
4313,0.051333,0.084345,0.089095,0.0834159999999999,0.082288,0.158723,0.147481,0.1094319999999999,0.143759,0.107768,0.141127,0.1987519999999999
1467,0.057349,0.08741,0.097353,0.099147,0.157809,0.159321,0.157028,0.073238,0.111162,0.113176,0.150177,0.251088
4137,0.059286,0.081921,0.089936,0.092591,0.105042,0.146597,0.100612,0.101002,0.182692,0.108109,0.132991,0.205987
4559,0.053888,0.100592,0.073887,0.097927,0.129255,0.1028539999999999,0.092071,0.116241,0.145293,0.124425,0.129667,0.270433
4586,0.0537739999999999,0.109592,0.074957,0.100882,0.144844,0.107262,0.094972,0.108181,0.149373,0.115351,0.13057,0.238888
23377,0.0687359999999999,0.083477,0.082716,0.104198,0.137121,0.108939,0.101318,0.128559,0.140473,0.113797,0.1005959999999999,0.246807
23377,0.0509429999999999,0.065132,0.100406,0.095261,0.073132,0.166461,0.15003,0.118998,0.23642,0.2573999999999999,0.147396,0.266492
29316,0.054452,0.0956969999999999,0.0948739999999999,0.096781,0.110692,0.176599,0.167563,0.0934029999999999,0.2016369999999999,0.113153,0.126739,0.219616
29316,0.052857,0.090195,0.085699,0.1036469999999999,0.139189,0.1166639999999999,0.163632,0.06538,0.214046,0.219873,0.11004,0.200911
23336,0.046615,0.100065,0.066983,0.101699,0.1179529999999999,0.107995,0.120345,0.149753,0.106212,0.108909,0.092746,0.2192279999999999
23336,0.047901,0.094483,0.105288,0.08262,0.051212,0.147295,0.138891,0.11985,0.22731,0.160917,0.145446,0.319358
37200,0.043685,0.076135,0.109647,0.093693,0.152906,0.0969549999999999,0.053833,0.124367,0.124831,0.134381,0.160907,0.2372939999999999
4481,0.053356,0.073064,0.077007,0.104194,0.185473,0.133893,0.145495,0.112175,0.142941,0.101861,0.130596,0.233563
4481,0.042817,0.094971,0.080225,0.10912,0.093061,0.168767,0.141178,0.075645,0.216529,0.213395,0.181647,0.306335
37192,0.045052,0.080862,0.108237,0.088032,0.157907,0.0805289999999999,0.05737,0.12521,0.106621,0.131802,0.1518,0.178193
35871,0.052671,0.072986,0.105641,0.095554,0.155451,0.123752,0.096595,0.197159,0.1217109999999999,0.1211459999999999,0.149872,0.144807
4696,0.053172,0.093322,0.076723,0.104071,0.17422,0.06464,0.140674,0.104093,0.153413,0.111576,0.1283419999999999,0.226399
3615,0.057717,0.125184,0.077773,0.1122259999999999,0.097923,0.217877,0.16477,0.086981,0.1645309999999999,0.12955,0.181195,0.145192
23393,0.053379,0.118449,0.0852619999999999,0.098803,0.138649,0.119442,0.112757,0.1243089999999999,0.161456,0.114784,0.108484,0.24533
29322,0.053467,0.119463,0.07105,0.089909,0.098977,0.17314,0.16335,0.089081,0.199251,0.112068,0.134785,0.217863
4158,0.0578889999999999,0.116154,0.079719,0.08699,0.079893,0.106409,0.1081049999999999,0.0972509999999999,0.159626,0.0988059999999999,0.128495,0.1991959999999999
4356,0.043835,0.079744,0.080846,0.112616,0.115012,0.1676409999999999,0.136235,0.0717739999999999,0.125388,0.220714,0.179667,0.2067109999999999
4356,0.053062,0.102321,0.098818,0.077054,0.10867,0.162961,0.144898,0.122038,0.134307,0.10409,0.135043,0.20471
27875,0.0551879999999999,0.093597,0.0823349999999999,0.120581,0.118738,0.140888,0.1533,0.072051,0.162637,0.108973,0.146342,0.186373
