,z,cluster
32059,1,-1
10015,0,-1
126,0,-1
36201,0,-1
35447,0,-1
36177,1,-1
36222,0,-1
4192,0,-1
31599,1,-1
25404,0,-1
10137,0,-1
30643,0,-1
25676,0,-1
38550,0,-1
10324,0,-1
29758,1,-1
20701,0,-1
31083,0,-1
37108,0,-1
30853,1,-1
21599,1,-1
35810,1,-1
33538,1,-1
629,1,-1
32488,0,-1
37297,0,-1
10210,1,-1
19254,0,-1
31932,0,-1
38061,0,-1
33072,1,-1
36238,0,-1
16045,0,-1
21499,1,-1
36480,0,-1
18148,0,-1
31604,0,-1
5017,1,-1
31957,0,-1
36884,0,-1
32833,1,-1
32436,0,-1
38239,0,-1
10195,0,-1
38216,1,-1
33056,0,-1
24107,1,-1
30055,1,-1
3577,1,-1
6942,0,-1
33032,1,-1
20543,0,-1
38829,0,-1
37786,0,-1
32404,1,-1
37873,0,-1
34022,0,-1
10019,1,-1
17332,0,-1
33211,0,-1
341,1,-1
6869,0,-1
34670,0,-1
20655,0,-1
21482,1,-1
545,1,-1
32319,0,-1
32068,1,-1
321,1,-1
36834,0,-1
34342,0,-1
31871,1,-1
36526,1,-1
34232,0,-1
35719,0,-1
31296,0,-1
7194,0,-1
34752,0,-1
32695,1,-1
36489,0,-1
10480,1,-1
19485,0,-1
32262,1,-1
37421,0,-1
34257,0,-1
33634,0,-1
33641,1,-1
34630,0,-1
25082,0,-1
38352,0,-1
6269,0,-1
34399,0,-1
36814,0,-1
30481,1,-1
543,1,-1
19269,1,-1
25339,0,-1
38529,0,-1
30297,1,-1
31909,0,-1
38978,0,-1
4203,0,-1
31893,1,-1
31970,0,-1
21948,1,-1
24159,1,-1
34374,1,-1
35691,0,-1
32266,0,-1
8586,1,-1
34700,0,-1
102,1,-1
34041,0,-1
37900,0,-1
6101,0,-1
18158,0,-1
6277,0,-1
36907,0,-1
25013,0,-1
32180,1,-1
31728,0,-1
969,1,-1
10147,1,-1
31227,1,-1
36461,0,-1
30859,0,-1
33199,0,-1
424,0,-1
34937,0,-1
20666,0,-1
34609,0,-1
20041,1,-1
24268,1,-1
10100,1,-1
18823,0,-1
20608,0,-1
21946,1,-1
25049,0,-1
20838,1,-1
32154,1,-1
27119,1,-1
31894,0,-1
27298,1,-1
31328,1,-1
33703,0,-1
1103,1,-1
31378,1,-1
34694,0,-1
31275,1,-1
34541,0,-1
37463,0,-1
30822,0,-1
30880,1,-1
36379,0,-1
31235,0,-1
37686,0,-1
31166,1,-1
18301,0,-1
32876,0,-1
30973,0,-1
35529,0,-1
31613,0,-1
30811,0,-1
10002,1,-1
32015,0,-1
10104,0,-1
10312,1,-1
36795,0,-1
20818,0,-1
5929,0,-1
34594,1,-1
20016,1,-1
32025,1,-1
392,1,-1
35621,0,-1
36576,0,-1
35079,1,-1
35283,0,-1
16663,0,-1
20958,1,-1
30350,0,-1
31229,0,-1
34160,0,-1
7,0,-1
31052,1,-1
7051,0,-1
31006,0,-1
34458,0,-1
32833,0,-1
37879,0,-1
205,1,-1
23855,0,-1
35485,0,-1
31443,0,-1
30852,1,-1
24564,1,-1
35036,0,-1
10033,0,-1
9682,0,-1
35139,0,-1
37358,0,-1
35508,0,-1
32224,0,-1
20291,0,-1
10190,1,-1
33759,0,-1
32822,1,-1
32713,0,-1
18917,0,-1
33409,1,-1
13589,0,-1
13702,0,-1
37352,0,-1
10097,1,-1
83,1,-1
475,1,-1
36953,0,-1
31782,0,-1
18882,0,-1
4927,0,-1
20490,0,-1
7307,1,-1
38997,0,-1
39001,0,-1
31549,0,-1
10016,1,-1
36949,0,-1
31507,1,-1
33450,0,-1
30251,0,-1
33299,0,-1
20267,0,-1
20361,0,-1
26138,1,-1
33034,0,-1
35811,1,-1
31384,1,-1
31234,1,-1
38756,0,-1
36454,1,-1
39031,0,-1
34790,0,-1
30070,1,-1
31089,1,-1
33621,0,-1
194,1,-1
33013,1,-1
38411,0,-1
19283,0,-1
20609,0,-1
38326,0,-1
18772,0,-1
10498,1,-1
37967,0,-1
33525,1,-1
19150,0,-1
24781,0,-1
9128,0,-1
31437,0,-1
10194,0,-1
34056,0,-1
32789,0,-1
32196,1,-1
624,0,-1
32860,1,-1
11909,0,-1
34497,0,-1
14234,0,-1
36797,0,-1
31964,0,-1
20190,1,-1
31049,1,-1
32034,0,-1
3458,1,-1
31795,1,-1
31913,0,-1
32275,0,-1
20127,1,-1
36727,0,-1
31529,0,-1
30669,1,-1
33103,0,-1
30130,1,-1
36760,1,-1
39092,0,-1
26496,0,-1
35780,0,-1
22201,1,-1
20228,0,-1
31931,0,-1
9501,0,-1
30912,0,-1
21083,1,-1
32684,0,-1
37263,0,-1
19283,1,-1
17613,0,-1
39056,0,-1
36031,1,-1
37052,0,-1
38701,0,-1
26955,1,-1
18236,0,-1
36863,0,-1
17308,0,-1
33057,1,-1
31122,0,-1
26962,1,-1
298,1,-1
16470,0,-1
34241,0,-1
33670,0,-1
38604,0,-1
36682,1,-1
5693,1,-1
21763,0,-1
31280,1,-1
34532,0,-1
36989,0,-1
31064,1,-1
528,1,-1
32401,0,-1
31710,1,-1
34126,0,-1
24999,0,-1
20817,0,-1
20273,1,-1
4807,0,-1
23851,0,-1
33683,1,-1
18317,0,-1
18827,0,-1
32420,1,-1
33832,0,-1
20322,0,-1
34962,0,-1
30131,1,-1
19249,0,-1
30126,1,-1
32975,0,-1
6173,0,-1
31574,0,-1
10208,1,-1
30615,0,-1
28610,0,-1
31544,1,-1
31655,1,-1
30719,0,-1
10482,1,-1
23978,1,-1
30147,0,-1
36319,0,-1
36182,1,-1
4243,0,-1
24204,1,-1
33409,0,-1
33372,0,-1
38328,0,-1
30865,1,-1
36059,0,-1
35691,1,-1
33185,0,-1
31383,1,-1
36711,0,-1
418,1,-1
35804,0,-1
6290,0,-1
37097,0,-1
20667,0,-1
36364,0,-1
31881,1,-1
35229,0,-1
281,1,-1
34340,0,-1
33997,0,-1
23852,0,-1
17596,0,-1
18521,0,-1
5044,0,-1
18484,0,-1
6256,0,-1
31565,1,-1
37787,0,-1
535,1,-1
31343,1,-1
30508,0,-1
33187,0,-1
36344,1,-1
30352,1,-1
21765,1,-1
37963,0,-1
31053,1,-1
37959,0,-1
32170,1,-1
33602,0,-1
34334,0,-1
32097,0,-1
33614,0,-1
38818,0,-1
19281,0,-1
32448,1,-1
6420,0,-1
6844,0,-1
34095,0,-1
25710,0,-1
38134,0,-1
34224,0,-1
10309,0,-1
10206,1,-1
31593,1,-1
4978,0,-1
7075,0,-1
38698,0,-1
35271,0,-1
39207,0,-1
32679,0,-1
37417,0,-1
30607,0,-1
33444,0,-1
32094,0,-1
35425,0,-1
31416,1,-1
6410,1,-1
26377,0,-1
2820,1,-1
31557,1,-1
10444,1,-1
34789,0,-1
1502,0,-1
37655,0,-1
32461,0,-1
38293,0,-1
37938,0,-1
18984,0,-1
38989,1,-1
39003,0,-1
33706,1,-1
21536,1,-1
38527,0,-1
31882,0,-1
33040,1,-1
34490,0,-1
35336,0,-1
31008,0,-1
18847,0,-1
32289,0,-1
6879,0,-1
37011,0,-1
32290,1,-1
31873,0,-1
334,1,-1
20238,0,-1
36445,0,-1
32599,1,-1
34264,0,-1
36347,0,-1
30087,1,-1
18776,0,-1
33453,0,-1
30586,0,-1
30254,1,-1
32328,0,-1
18963,0,-1
31808,0,-1
32161,1,-1
31603,0,-1
34377,0,-1
37154,0,-1
25355,0,-1
24339,1,-1
32652,1,-1
33718,1,-1
33014,0,-1
38933,0,-1
31132,0,-1
34372,1,-1
30124,1,-1
25499,0,-1
32933,1,-1
31738,1,-1
32162,1,-1
35899,0,-1
7054,0,-1
33366,0,-1
32799,1,-1
37998,0,-1
33511,1,-1
11357,0,-1
31646,0,-1
20154,0,-1
35692,0,-1
31815,1,-1
30775,1,-1
33540,1,-1
32018,0,-1
562,1,-1
30896,1,-1
20278,1,-1
31643,1,-1
30740,1,-1
18433,0,-1
1428,0,-1
30957,0,-1
37324,0,-1
32135,1,-1
32126,1,-1
35742,0,-1
36499,1,-1
8323,1,-1
30711,1,-1
13599,0,-1
33,1,-1
30991,1,-1
10007,0,-1
18883,0,-1
34143,0,-1
30829,0,-1
15088,0,-1
32558,1,-1
31836,1,-1
307,0,-1
37613,0,-1
39004,0,-1
21529,1,-1
30320,1,-1
34291,0,-1
943,1,-1
38281,1,-1
31684,1,-1
64,0,-1
5984,0,-1
33288,1,-1
60,0,-1
30696,0,-1
33043,1,-1
36137,0,-1
38413,1,-1
30962,0,-1
31910,1,-1
35522,1,-1
18750,0,-1
32560,1,-1
33481,0,-1
37081,0,-1
25336,0,-1
38789,0,-1
32030,1,-1
30431,1,-1
36530,0,-1
19138,0,-1
10266,0,-1
19303,0,-1
32711,1,-1
30680,0,-1
33632,0,-1
37698,0,-1
34281,0,-1
33837,0,-1
31041,1,-1
32111,0,-1
19298,1,-1
31788,0,-1
30490,1,-1
37216,1,-1
10431,1,-1
18972,0,-1
949,1,-1
32031,0,-1
19267,1,-1
36367,0,-1
30433,1,-1
38103,0,-1
18942,0,-1
20285,0,-1
18555,0,-1
38138,0,-1
33331,1,-1
32865,0,-1
10022,1,-1
25012,0,-1
32474,0,-1
18674,0,-1
37334,0,-1
9155,0,-1
33474,0,-1
7231,0,-1
34590,0,-1
6151,0,-1
38871,0,-1
6183,0,-1
32024,0,-1
33014,1,-1
37057,0,-1
30388,0,-1
30846,1,-1
30089,0,-1
31453,1,-1
33127,1,-1
38921,0,-1
20024,0,-1
19343,0,-1
32185,1,-1
20362,0,-1
31509,1,-1
35943,1,-1
36677,0,-1
19102,0,-1
27188,1,-1
30412,1,-1
20263,0,-1
21797,1,-1
30289,1,-1
37847,0,-1
20337,0,-1
33611,0,-1
2145,1,-1
29470,1,-1
30532,1,-1
37100,0,-1
38566,0,-1
20501,0,-1
32986,0,-1
35005,0,-1
33635,0,-1
3868,0,-1
30759,0,-1
32869,1,-1
30326,0,-1
35995,0,-1
6727,0,-1
19509,0,-1
10313,0,-1
33656,1,-1
18637,0,-1
31811,1,-1
32176,1,-1
18779,0,-1
37557,0,-1
10149,1,-1
33682,1,-1
30532,0,-1
20956,1,-1
38811,0,-1
31598,0,-1
37132,0,-1
33616,0,-1
30241,1,-1
21785,0,-1
5030,1,-1
37080,0,-1
427,0,-1
30554,1,-1
32393,0,-1
38236,0,-1
33374,0,-1
10457,1,-1
30639,1,-1
382,1,-1
25691,0,-1
36566,0,-1
32108,0,-1
21355,1,-1
33250,1,-1
36106,1,-1
20056,0,-1
13793,0,-1
32796,0,-1
30215,1,-1
38349,0,-1
30432,0,-1
32353,0,-1
34994,0,-1
35102,1,-1
33953,0,-1
37638,0,-1
37997,0,-1
33944,0,-1
34728,0,-1
26391,0,-1
37696,0,-1
32740,0,-1
32189,1,-1
31737,0,-1
31892,1,-1
33801,0,-1
32819,1,-1
33527,0,-1
6088,1,-1
31533,1,-1
24190,1,-1
11365,0,-1
13826,0,-1
37841,0,-1
32162,0,-1
30747,0,-1
33332,1,-1
35227,1,-1
38562,0,-1
32743,0,-1
30637,1,-1
36415,0,-1
31897,0,-1
16115,0,-1
33450,1,-1
20169,0,-1
10280,0,-1
32750,0,-1
33490,0,-1
30940,0,-1
4778,0,-1
23216,1,-1
30618,1,-1
9743,0,-1
17296,0,-1
30431,0,-1
32529,1,-1
20218,0,-1
32793,1,-1
31073,1,-1
32334,0,-1
