,0,1,2,3,4,5,6,7,8,9,10,11
12609,0.051687,0.079584,0.0935859999999999,0.096087,0.140114,0.155321,0.146823,0.105264,0.138268,0.064959,0.175866,0.2431269999999999
12421,0.0504929999999999,0.076072,0.089058,0.096718,0.135045,0.1522659999999999,0.142295,0.0967629999999999,0.141621,0.065826,0.1714069999999999,0.20917
17954,0.046047,0.08109,0.096451,0.1018459999999999,0.159449,0.088767,0.12322,0.087628,0.098495,0.081465,0.126083,0.187462
18064,0.049948,0.120614,0.092102,0.095946,0.1238669999999999,0.075921,0.0881639999999999,0.094259,0.094759,0.072619,0.12475,0.195253
12489,0.047906,0.071585,0.095447,0.0849569999999999,0.150482,0.14746,0.142354,0.105626,0.135498,0.060916,0.168682,0.234514
13037,0.05236,0.104494,0.0690559999999999,0.108528,0.132847,0.149741,0.144268,0.097928,0.1270609999999999,0.066128,0.167775,0.230196
13150,0.049842,0.093456,0.082909,0.0931579999999999,0.134253,0.1579229999999999,0.146754,0.092637,0.138963,0.072401,0.175698,0.196811
1311,0.056339,0.084396,0.107239,0.085071,0.145561,0.162485,0.159963,0.066765,0.09645,0.098888,0.154428,0.2162
17793,0.065943,0.100263,0.092912,0.075941,0.124427,0.129927,0.164515,0.085269,0.10099,0.0805979999999999,0.1154289999999999,0.154879
13017,0.048277,0.109625,0.07979,0.090977,0.14303,0.139786,0.132263,0.090692,0.115219,0.057857,0.165848,0.189768
12766,0.042556,0.1001249999999999,0.102812,0.104223,0.124166,0.163034,0.137153,0.102536,0.133852,0.06335,0.174341,0.230258
1943,0.0920059999999999,0.06823,0.085263,0.113592,0.151454,0.167056,0.154516,0.068723,0.088413,0.113138,0.134342,0.1853109999999999
13182,0.047453,0.104931,0.085647,0.102509,0.134164,0.160821,0.149279,0.095357,0.132926,0.066315,0.176334,0.186711
13182,0.058582,0.096228,0.098465,0.111567,0.154607,0.129275,0.080454,0.061176,0.1760439999999999,0.187422,0.130078,0.231002
1833,0.064301,0.105281,0.098552,0.0909479999999999,0.152669,0.1559019999999999,0.155251,0.071704,0.0532749999999999,0.09677,0.144074,0.193595
1833,0.050472,0.097145,0.096992,0.106363,0.13204,0.096018,0.102321,0.099746,0.158016,0.184878,0.169018,0.243305
1193,0.055772,0.08047,0.09573,0.0961139999999999,0.15498,0.152939,0.152554,0.068276,0.055772,0.106605,0.146631,0.190808
18029,0.0533579999999999,0.119212,0.063943,0.104368,0.2014969999999999,0.118307,0.119807,0.114476,0.16488,0.179189,0.127632,0.232605
18029,0.048078,0.108542,0.087452,0.0960699999999999,0.142983,0.103903,0.133827,0.087306,0.096634,0.07511,0.124929,0.208609
12701,0.049916,0.080327,0.0969619999999999,0.094271,0.14422,0.147948,0.138855,0.099463,0.12942,0.059644,0.155308,0.234408
12647,0.046952,0.090649,0.099801,0.096507,0.150722,0.123544,0.12315,0.100325,0.125848,0.0610719999999999,0.16658,0.243143
12703,0.0515749999999999,0.079562,0.0905749999999999,0.090457,0.137627,0.152301,0.13779,0.100756,0.127371,0.0644339999999999,0.173433,0.229566
12850,0.047077,0.101585,0.073455,0.101254,0.152056,0.148134,0.159291,0.096649,0.143766,0.060505,0.171878,0.194496
12850,0.053893,0.089568,0.094936,0.10634,0.19473,0.107695,0.1034549999999999,0.089077,0.209109,0.197849,0.133626,0.270757
12577,0.049153,0.085503,0.09348,0.091677,0.14306,0.140895,0.12781,0.102416,0.137217,0.062028,0.176116,0.233862
1203,0.048102,0.073992,0.095152,0.0898269999999999,0.152847,0.1614219999999999,0.161939,0.070708,0.084524,0.08112,0.1537369999999999,0.197418
12531,0.0502909999999999,0.0799,0.098055,0.09305,0.144777,0.150392,0.140347,0.101321,0.140738,0.057482,0.1794889999999999,0.21977
18080,0.054927,0.112117,0.092968,0.097946,0.1430219999999999,0.070212,0.089726,0.0964039999999999,0.086223,0.070782,0.126495,0.199675
1866,0.054241,0.0915889999999999,0.097223,0.087572,0.147059,0.151773,0.147821,0.070435,0.0654049999999999,0.098242,0.142151,0.2011039999999999
13052,0.0494099999999999,0.115913,0.093919,0.097577,0.1325569999999999,0.155296,0.138618,0.089844,0.143012,0.06397,0.175807,0.199369
13087,0.049877,0.109656,0.074071,0.098026,0.150524,0.158931,0.142781,0.095413,0.14407,0.065237,0.1779799999999999,0.213121
12846,0.051859,0.107851,0.064336,0.09203,0.144719,0.134724,0.12922,0.089452,0.128137,0.060727,0.173453,0.188368
12517,0.0486179999999999,0.1081819999999999,0.096175,0.1140419999999999,0.176847,0.1266729999999999,0.067954,0.067801,0.0980819999999999,0.179628,0.127347,0.134065
12517,0.049903,0.09598,0.097127,0.098963,0.145009,0.147115,0.134825,0.101256,0.132045,0.060938,0.166032,0.238934
12287,0.046416,0.078819,0.101376,0.096374,0.13678,0.129988,0.131433,0.1079379999999999,0.1046889999999999,0.067158,0.16195,0.225014
17961,0.049096,0.112743,0.096413,0.10041,0.181262,0.132857,0.124675,0.097035,0.096132,0.073193,0.132843,0.2157649999999999
13173,0.052114,0.1096139999999999,0.0745239999999999,0.092728,0.146084,0.15222,0.137089,0.089425,0.14516,0.070758,0.184846,0.186086
29092,0.053105,0.084842,0.095976,0.105879,0.111,0.174545,0.175381,0.0811379999999999,0.100313,0.112127,0.118664,0.175806
12484,0.044877,0.086616,0.09541,0.089443,0.140122,0.133564,0.126548,0.103894,0.133392,0.064453,0.171187,0.219528
12614,0.0491249999999999,0.076506,0.09492,0.085486,0.144626,0.142745,0.137411,0.104194,0.123995,0.063587,0.1683899999999999,0.23477
1860,0.060056,0.086503,0.0989589999999999,0.099638,0.149966,0.164247,0.157031,0.068573,0.0512129999999999,0.095027,0.155776,0.2014669999999999
12883,0.050564,0.109345,0.1162759999999999,0.073798,0.143228,0.16291,0.152485,0.09616,0.142242,0.062369,0.187789,0.190291
12920,0.048047,0.113057,0.091927,0.109269,0.13698,0.156342,0.138831,0.0971129999999999,0.127981,0.062751,0.1708759999999999,0.2036039999999999
13033,0.0525049999999999,0.106803,0.068164,0.1047969999999999,0.137461,0.157266,0.162787,0.1131119999999999,0.113299,0.062635,0.162936,0.225185
12722,0.052831,0.100694,0.094487,0.110815,0.165363,0.121102,0.076833,0.06812,0.194873,0.194697,0.132952,0.2304339999999999
12722,0.047295,0.09801,0.094659,0.1027549999999999,0.141097,0.127055,0.147319,0.1002759999999999,0.137482,0.063301,0.171678,0.234703
13061,0.049391,0.1164129999999999,0.076526,0.094669,0.138213,0.155821,0.143286,0.091236,0.157221,0.072553,0.180278,0.1927819999999999
1299,0.062247,0.083673,0.090198,0.091129,0.158079,0.157407,0.151672,0.073872,0.072919,0.0920609999999999,0.148983,0.207265
12832,0.0518229999999999,0.116168,0.05761,0.1042,0.1350869999999999,0.148775,0.135306,0.092591,0.142917,0.063222,0.179663,0.198481
9853,0.050676,0.1360249999999999,0.093277,0.08741,0.101499,0.119502,0.10641,0.066657,0.116273,0.08757,0.167249,0.24588
13012,0.048318,0.095623,0.095168,0.07929,0.132524,0.132599,0.130441,0.09329,0.110852,0.0603589999999999,0.168769,0.1823509999999999
13109,0.049315,0.096064,0.068395,0.10093,0.137484,0.156188,0.139947,0.094386,0.134924,0.067323,0.184769,0.2206149999999999
1805,0.065716,0.106235,0.078505,0.092786,0.1455199999999999,0.156076,0.171853,0.060618,0.059354,0.086485,0.149154,0.1979189999999999
1805,0.050253,0.056155,0.102022,0.104292,0.128635,0.1032479999999999,0.108856,0.09663,0.148625,0.135763,0.154585,0.298375
18093,0.052317,0.087861,0.093053,0.0976249999999999,0.1544549999999999,0.128963,0.137254,0.104823,0.09531,0.071407,0.123655,0.195254
12447,0.050688,0.073969,0.096939,0.095221,0.144693,0.1462679999999999,0.142939,0.103914,0.136914,0.062856,0.174797,0.217716
18085,0.051278,0.094622,0.099158,0.100724,0.135084,0.070334,0.098848,0.099609,0.1030509999999999,0.072323,0.132457,0.222348
16048,0.079587,0.116768,0.082288,0.096304,0.137103,0.173517,0.188633,0.150517,0.103236,0.0459269999999999,0.164189,0.22707
12479,0.047001,0.0753979999999999,0.090642,0.094454,0.124308,0.14043,0.144015,0.096218,0.137213,0.0663,0.166214,0.2293639999999999
12450,0.050701,0.069033,0.09881,0.095787,0.153077,0.146874,0.154154,0.0989589999999999,0.130439,0.061196,0.17542,0.2289399999999999
13200,0.050447,0.1003309999999999,0.082893,0.099862,0.153749,0.157908,0.140044,0.083881,0.143647,0.080281,0.169409,0.22497
12742,0.047533,0.106599,0.097715,0.0989879999999999,0.146625,0.156634,0.150011,0.102868,0.1326399999999999,0.058017,0.1712,0.221517
13157,0.052712,0.1014669999999999,0.076688,0.106125,0.138237,0.146751,0.139457,0.087562,0.15834,0.068521,0.189858,0.196827
