,z,cluster
39426,1,2
39309,1,2
39279,1,2
39686,1,2
39863,1,2
39158,1,2
39169,1,2
39585,1,2
39572,1,2
38953,1,2
38876,1,2
39594,1,2
39137,1,2
38952,1,2
39400,1,2
38825,1,2
38959,1,2
39647,1,2
39236,1,2
39420,1,2
39784,1,2
38893,1,2
39105,1,2
39073,1,2
38817,1,2
38944,1,2
39168,1,2
2831,1,2
38980,1,2
38050,1,2
39284,1,2
39805,1,2
38843,1,2
38964,1,2
39022,1,2
39061,1,2
39869,1,2
39849,1,2
39596,1,2
39665,1,2
39709,1,2
39894,1,2
39691,1,2
39569,1,2
39460,1,2
23321,0,2
38946,1,2
39900,1,2
39514,1,2
4821,1,2
39216,1,2
39556,1,2
39873,1,2
39990,1,2
39646,1,2
39046,1,2
39097,1,2
39590,1,2
39638,1,2
4928,0,2
39671,1,2
39819,1,2
22489,1,2
39755,1,2
39117,1,2
39305,1,2
39624,1,2
39579,1,2
39603,1,2
39136,1,2
39715,1,2
39833,1,2
39611,1,2
39233,1,2
39874,1,2
39052,1,2
39657,1,2
39770,1,2
39587,1,2
39723,1,2
39198,1,2
38968,1,2
39119,1,2
38930,1,2
39487,1,2
39797,1,2
39866,1,2
39796,1,2
39552,1,2
39631,1,2
39660,1,2
37481,1,2
36380,1,2
39072,1,2
39513,1,2
39700,1,2
39441,1,2
39226,1,2
39417,1,2
37483,1,2
39373,1,2
39224,1,2
39190,1,2
39781,1,2
38822,1,2
38842,1,2
39943,1,2
21767,0,2
39703,1,2
1916,0,2
39986,1,2
39245,1,2
35045,1,2
11795,0,2
23342,0,2
39975,1,2
39232,1,2
39076,1,2
1936,0,2
39289,1,2
39707,1,2
38871,1,2
39304,1,2
39526,1,2
38992,1,2
39544,1,2
38905,1,2
35969,1,2
39237,1,2
38823,1,2
39180,1,2
39018,1,2
39430,1,2
39135,1,2
39127,1,2
38856,1,2
39372,1,2
39827,1,2
39418,1,2
39164,1,2
38955,1,2
39595,1,2
38064,1,2
39623,1,2
39375,1,2
39087,1,2
39571,1,2
38974,1,2
39742,1,2
36529,1,2
9550,0,2
39263,1,2
39202,1,2
34790,1,2
39636,1,2
39423,1,2
39642,1,2
39414,1,2
39371,1,2
39714,1,2
38863,1,2
39458,1,2
39854,1,2
39914,1,2
39756,1,2
39017,1,2
39813,1,2
39338,1,2
39493,1,2
39297,1,2
39828,1,2
39178,1,2
39349,1,2
39994,1,2
39133,1,2
39131,1,2
39461,1,2
39277,1,2
39466,1,2
38986,1,2
1391,0,2
39652,1,2
39912,1,2
39581,1,2
39353,1,2
38888,1,2
39936,1,2
38805,1,2
36395,1,2
39622,1,2
39681,1,2
39230,1,2
39739,1,2
39380,1,2
39503,1,2
39932,1,2
39153,1,2
37487,1,2
39735,1,2
39244,1,2
34797,1,2
39794,1,2
39446,1,2
38978,1,2
38973,1,2
38931,1,2
38048,1,2
39369,1,2
38870,1,2
39328,1,2
39640,1,2
39008,1,2
39360,1,2
38927,1,2
39913,1,2
39209,1,2
38854,1,2
38996,1,2
39889,1,2
39767,1,2
38907,1,2
38853,1,2
39864,1,2
39838,1,2
39669,1,2
39074,1,2
38904,1,2
39075,1,2
39039,1,2
19533,0,2
39766,1,2
39561,1,2
39941,1,2
39208,1,2
39673,1,2
38820,1,2
37484,1,2
39094,1,2
39262,1,2
38824,1,2
39260,1,2
32230,1,2
1922,0,2
39296,1,2
34798,1,2
39401,1,2
39448,1,2
16840,0,2
39754,1,2
39444,1,2
39727,1,2
39752,1,2
39947,1,2
39910,1,2
38924,1,2
39625,1,2
38832,1,2
39666,1,2
39447,1,2
39588,1,2
39654,1,2
38914,1,2
