,z,cluster
7470,0,9
7381,0,9
7620,0,9
7575,0,9
7408,0,9
35926,1,9
7422,0,9
7554,0,9
7359,0,9
7511,0,9
7336,0,9
7483,0,9
7566,0,9
7606,0,9
7332,0,9
7510,0,9
7264,0,9
7444,0,9
7251,0,9
7656,0,9
7457,0,9
7341,0,9
7584,0,9
7262,0,9
7276,0,9
7386,0,9
7365,0,9
7627,0,9
7400,0,9
7574,0,9
7557,0,9
7562,0,9
7657,0,9
7513,0,9
7531,0,9
7645,0,9
7646,0,9
7583,0,9
7258,0,9
7429,0,9
7622,0,9
1346,1,9
7507,0,9
7504,0,9
7269,0,9
7587,0,9
7577,0,9
7515,0,9
7476,0,9
7522,0,9
7364,0,9
7581,0,9
7487,0,9
7394,0,9
7571,0,9
7222,0,9
7618,0,9
7271,0,9
7196,0,9
7539,0,9
7610,0,9
7432,0,9
7536,0,9
7638,0,9
7249,0,9
7415,0,9
7619,0,9
7491,0,9
7343,0,9
7404,0,9
7465,0,9
7235,0,9
7254,0,9
7385,0,9
7596,0,9
7516,0,9
7454,0,9
7333,0,9
7346,0,9
7349,0,9
7473,0,9
7537,0,9
7396,0,9
