,z,cluster
4718,0,6
4659,0,6
5516,0,6
23193,0,6
24952,0,6
6780,0,6
29844,0,6
17098,0,6
421,0,6
23167,0,6
29606,0,6
4272,0,6
29182,0,6
29750,0,6
29318,0,6
29672,0,6
24180,0,6
4206,0,6
28990,0,6
6102,0,6
29254,0,6
23170,0,6
4495,0,6
4999,0,6
29995,1,6
405,0,6
29842,0,6
29840,0,6
4123,0,6
29383,0,6
4754,0,6
2831,0,6
29889,0,6
29920,0,6
4443,0,6
29162,0,6
29418,0,6
29956,0,6
26004,1,6
358,0,6
29972,0,6
29444,0,6
29933,0,6
29823,0,6
29437,0,6
4071,0,6
29698,0,6
24972,0,6
418,0,6
29471,0,6
4983,0,6
23236,0,6
24976,0,6
4648,0,6
29721,0,6
23181,0,6
29530,0,6
4078,0,6
29397,0,6
5546,0,6
314,0,6
6340,0,6
23163,0,6
29506,0,6
29452,0,6
29480,0,6
24169,0,6
29503,0,6
29159,0,6
29741,0,6
6088,0,6
23130,0,6
24194,0,6
29900,0,6
29244,0,6
4143,0,6
29789,0,6
29400,0,6
29892,0,6
23148,0,6
29777,0,6
29157,0,6
29491,0,6
23223,0,6
29449,0,6
4646,0,6
29880,0,6
4219,0,6
4742,0,6
27903,1,6
29266,0,6
35013,1,6
29221,0,6
29807,0,6
21445,0,6
27881,1,6
29779,0,6
4389,0,6
4734,0,6
6099,0,6
29209,0,6
4998,0,6
29780,0,6
4115,0,6
29578,0,6
29946,0,6
29402,0,6
17847,1,6
6425,0,6
29769,0,6
8899,0,6
29837,0,6
29995,0,6
23254,0,6
23275,0,6
328,0,6
29792,0,6
4699,0,6
29649,0,6
29872,0,6
29185,0,6
29958,0,6
23220,0,6
380,0,6
29863,0,6
29238,0,6
274,0,6
29907,0,6
29492,0,6
29782,0,6
29839,0,6
21449,0,6
29665,0,6
29818,0,6
36530,1,6
4733,0,6
2837,0,6
4982,0,6
29259,0,6
23173,0,6
29724,0,6
29978,0,6
29415,0,6
2842,0,6
23224,0,6
29193,0,6
4093,0,6
29644,0,6
29549,0,6
343,0,6
4970,0,6
29983,0,6
23131,0,6
4250,0,6
23166,0,6
24825,1,6
4082,0,6
341,0,6
29742,0,6
29943,0,6
29704,0,6
29220,0,6
24177,0,6
4744,0,6
29666,0,6
369,0,6
25063,0,6
23169,0,6
29282,0,6
29969,0,6
4098,0,6
29878,0,6
29960,0,6
23151,0,6
29541,0,6
29256,0,6
29929,0,6
24827,1,6
6060,0,6
29755,0,6
4431,0,6
29509,0,6
29199,0,6
381,0,6
4493,0,6
29592,0,6
29934,0,6
4440,0,6
6723,0,6
29560,0,6
29772,0,6
29631,0,6
29756,0,6
4997,0,6
6442,0,6
29987,0,6
5545,0,6
29865,0,6
29562,0,6
21451,0,6
29754,0,6
24982,0,6
29805,0,6
29508,0,6
24282,1,6
29708,0,6
29663,0,6
29992,0,6
34574,1,6
270,0,6
5517,0,6
4110,0,6
29184,0,6
29714,0,6
29302,0,6
29860,0,6
29205,0,6
23258,0,6
21575,0,6
911,0,6
4090,0,6
371,0,6
4114,0,6
351,0,6
29487,0,6
3038,0,6
29150,0,6
6059,0,6
23230,0,6
3330,0,6
29693,0,6
29271,0,6
4437,0,6
382,0,6
29786,0,6
4256,0,6
21438,0,6
4889,0,6
29720,0,6
29550,0,6
29785,0,6
29168,0,6
24187,0,6
29709,0,6
4441,0,6
36237,1,6
34415,1,6
29775,0,6
23153,0,6
29419,0,6
29767,0,6
29458,0,6
