,z,cluster
75526,1,8
76692,1,8
20784,0,8
76871,1,8
59570,1,8
75620,1,8
76859,1,8
20702,0,8
76305,1,8
76706,1,8
60129,1,8
76569,1,8
74368,1,8
75628,1,8
76791,1,8
10370,0,8
76269,1,8
76654,1,8
76836,1,8
75576,1,8
76630,1,8
75875,1,8
76778,1,8
76878,1,8
76792,1,8
76437,1,8
76182,1,8
76446,1,8
76784,1,8
76468,1,8
76099,1,8
76912,1,8
76794,1,8
38583,0,8
40460,1,8
76013,1,8
60139,1,8
30713,0,8
76732,1,8
72056,1,8
76573,1,8
75698,1,8
20690,0,8
75508,1,8
75840,1,8
40347,1,8
76601,1,8
76765,1,8
76790,1,8
70049,1,8
72925,1,8
76136,1,8
40443,1,8
75850,1,8
20793,0,8
40739,1,8
76095,1,8
76295,1,8
76576,1,8
76789,1,8
76580,1,8
76055,1,8
70043,1,8
76135,1,8
76613,1,8
76581,1,8
76004,1,8
40446,1,8
64127,1,8
40435,1,8
75705,1,8
59527,1,8
76727,1,8
76627,1,8
40738,1,8
75585,1,8
76828,1,8
76051,1,8
74370,1,8
76649,1,8
76606,1,8
76743,1,8
76611,1,8
76374,1,8
40429,1,8
76265,1,8
76608,1,8
76723,1,8
76862,1,8
75655,1,8
40301,1,8
75676,1,8
64168,1,8
40389,1,8
70046,1,8
40295,1,8
74369,1,8
76625,1,8
76010,1,8
64164,1,8
76600,1,8
20760,0,8
20685,0,8
76842,1,8
76733,1,8
76881,1,8
76062,1,8
74320,1,8
75479,1,8
75687,1,8
76929,1,8
76740,1,8
72891,1,8
76933,1,8
76773,1,8
76587,1,8
64154,1,8
41955,1,8
41957,1,8
20665,0,8
76837,1,8
76669,1,8
59565,1,8
76186,1,8
75696,1,8
20714,0,8
76868,1,8
40359,1,8
40616,1,8
76704,1,8
75510,1,8
75677,1,8
76805,1,8
75681,1,8
76829,1,8
64121,1,8
76665,1,8
20709,0,8
75773,1,8
20684,0,8
74193,1,8
76697,1,8
76883,1,8
76009,1,8
