,0,1,2,3,4,5,6,7,8,9,10,11
48471,0.047927,0.050268,0.078869,0.104952,0.091789,0.182255,0.138415,0.07336,0.170437,0.247747,0.1740249999999999,0.26329
26221,0.071497,0.110375,0.08506,0.104961,0.129963,0.1751749999999999,0.110098,0.0513879999999999,0.180026,0.261356,0.154099,0.2762219999999999
49594,0.051515,0.065026,0.084545,0.100402,0.10624,0.166719,0.123151,0.065805,0.185961,0.233752,0.181841,0.288864
48459,0.047709,0.067888,0.076215,0.10753,0.100182,0.186509,0.132465,0.072256,0.1788789999999999,0.248801,0.172391,0.282478
44996,0.048171,0.1045079999999999,0.08101,0.110994,0.089255,0.183024,0.125859,0.072576,0.211552,0.232692,0.1795189999999999,0.25515
49548,0.045506,0.070107,0.089807,0.107746,0.10578,0.158228,0.129022,0.066574,0.179918,0.226317,0.1771829999999999,0.250786
44372,0.040915,0.0835249999999999,0.072669,0.1117939999999999,0.092468,0.126988,0.125019,0.069171,0.178016,0.254934,0.1809039999999999,0.263819
45124,0.042248,0.080589,0.074968,0.110405,0.093508,0.160108,0.134485,0.074021,0.187376,0.245867,0.178092,0.2594559999999999
48923,0.0540099999999999,0.0558059999999999,0.074607,0.11039,0.0993479999999999,0.180039,0.125019,0.068727,0.182759,0.221606,0.17326,0.290021
47080,0.0587009999999999,0.095103,0.078327,0.113033,0.06018,0.183671,0.127378,0.07148,0.196626,0.213887,0.183491,0.283087
26796,0.041448,0.092654,0.090715,0.099452,0.081273,0.179113,0.135444,0.066228,0.20803,0.212243,0.204752,0.257487
49105,0.050191,0.073556,0.083646,0.1105589999999999,0.112986,0.141454,0.13401,0.068455,0.18257,0.237988,0.18254,0.295364
49041,0.051412,0.059381,0.065446,0.10983,0.117754,0.178456,0.134981,0.066902,0.214715,0.204785,0.180857,0.304351
49718,0.049039,0.053694,0.087311,0.1142489999999999,0.105869,0.152414,0.122807,0.069362,0.177449,0.262447,0.1684659999999999,0.283057
49099,0.049428,0.074931,0.075993,0.11048,0.101005,0.154271,0.131812,0.06023,0.176795,0.222668,0.181959,0.275607
44558,0.04141,0.101183,0.08776,0.1112819999999999,0.103269,0.170375,0.140197,0.076891,0.192715,0.2245019999999999,0.173965,0.29382
46490,0.048822,0.086987,0.080923,0.1117399999999999,0.069215,0.160296,0.1203299999999999,0.065215,0.202633,0.2186469999999999,0.187954,0.275905
