,z,cluster
31115,0,7
31057,0,7
31126,0,7
31067,0,7
38762,0,7
30963,0,7
31293,0,7
31071,0,7
30867,0,7
72986,1,7
30918,0,7
31166,0,7
31055,0,7
31271,0,7
60261,1,7
31109,0,7
72933,1,7
72896,1,7
31157,0,7
31165,0,7
72946,1,7
31239,0,7
30866,0,7
31047,0,7
31134,0,7
31061,0,7
31096,0,7
31019,0,7
31112,0,7
31085,0,7
60118,1,7
31023,0,7
38592,0,7
31148,0,7
38846,0,7
72935,1,7
30930,0,7
31074,0,7
30869,0,7
73016,1,7
31204,0,7
30968,0,7
60126,1,7
38527,0,7
71354,1,7
31259,0,7
35201,0,7
31205,0,7
31097,0,7
60146,1,7
30970,0,7
30802,0,7
20577,0,7
70230,1,7
31160,0,7
31017,0,7
31032,0,7
30975,0,7
30817,0,7
31106,0,7
31066,0,7
31046,0,7
31718,0,7
31140,0,7
30801,0,7
31028,0,7
31256,0,7
72983,1,7
31294,0,7
30800,0,7
31009,0,7
30808,0,7
31072,0,7
31153,0,7
72912,1,7
31026,0,7
31156,0,7
31284,0,7
30917,0,7
31206,0,7
71350,1,7
31715,0,7
