,z,cluster
33093,0,-1
48098,1,-1
35170,0,-1
59331,1,-1
3367,0,-1
70901,1,-1
38551,0,-1
13677,0,-1
70114,1,-1
44468,1,-1
32641,0,-1
71178,1,-1
46247,1,-1
10210,0,-1
10317,0,-1
59871,1,-1
16699,0,-1
72359,1,-1
35229,0,-1
33394,0,-1
50496,1,-1
36002,0,-1
26323,0,-1
19548,0,-1
74859,1,-1
33094,0,-1
35908,0,-1
30119,0,-1
10280,0,-1
44365,1,-1
40269,1,-1
10137,0,-1
19113,0,-1
30553,0,-1
32925,0,-1
36836,0,-1
33169,0,-1
47479,1,-1
46562,1,-1
70869,1,-1
33736,0,-1
32018,0,-1
75826,1,-1
31709,0,-1
46850,1,-1
47948,1,-1
46177,1,-1
45684,1,-1
33821,0,-1
26590,0,-1
72721,1,-1
37061,0,-1
32114,0,-1
14999,0,-1
74322,1,-1
36691,0,-1
39088,0,-1
75866,1,-1
34330,0,-1
71902,1,-1
46991,1,-1
34606,0,-1
30640,0,-1
32274,0,-1
26554,0,-1
48406,1,-1
37620,0,-1
35499,0,-1
49351,1,-1
37085,0,-1
31387,0,-1
32166,0,-1
38037,0,-1
20587,0,-1
34022,0,-1
71054,1,-1
70503,1,-1
20006,0,-1
60206,1,-1
46855,1,-1
20536,0,-1
36519,0,-1
73180,1,-1
16632,0,-1
37586,0,-1
40010,1,-1
46406,1,-1
70308,1,-1
30745,0,-1
44031,1,-1
10022,0,-1
40370,1,-1
48320,1,-1
40063,1,-1
34676,0,-1
32035,0,-1
33272,0,-1
16121,0,-1
50185,1,-1
4820,0,-1
33129,0,-1
38152,0,-1
45628,1,-1
15093,0,-1
46371,1,-1
46274,1,-1
32658,0,-1
46123,1,-1
10192,0,-1
45698,1,-1
34617,0,-1
76315,1,-1
35632,0,-1
34457,0,-1
32973,0,-1
31950,0,-1
48158,1,-1
34352,0,-1
60138,1,-1
32068,0,-1
32721,0,-1
35260,0,-1
36008,0,-1
41051,1,-1
45365,1,-1
50182,1,-1
37118,0,-1
73025,1,-1
37134,0,-1
49143,1,-1
72830,1,-1
47845,1,-1
72632,1,-1
34441,0,-1
10318,0,-1
71235,1,-1
71014,1,-1
60239,1,-1
71817,1,-1
31415,0,-1
27174,0,-1
70226,1,-1
76401,1,-1
37990,0,-1
49593,1,-1
31858,0,-1
37151,0,-1
20656,0,-1
26281,0,-1
51,0,-1
32056,0,-1
31424,0,-1
34137,0,-1
47303,1,-1
10108,0,-1
73490,1,-1
18983,0,-1
37578,0,-1
70367,1,-1
40638,1,-1
76594,1,-1
71940,1,-1
50041,1,-1
40120,1,-1
75561,1,-1
33330,0,-1
49168,1,-1
38240,0,-1
30668,0,-1
31901,0,-1
34212,0,-1
34062,0,-1
49307,1,-1
36237,0,-1
37271,0,-1
47195,1,-1
18914,0,-1
31093,0,-1
60141,1,-1
62851,1,-1
79089,1,-1
35099,0,-1
40050,1,-1
47816,1,-1
16636,0,-1
36309,0,-1
44524,1,-1
34024,0,-1
17004,0,-1
46103,1,-1
31432,0,-1
35031,0,-1
37918,0,-1
70251,1,-1
13583,0,-1
34560,0,-1
34433,0,-1
18853,0,-1
36951,0,-1
75488,1,-1
36855,0,-1
61870,1,-1
36756,0,-1
19470,0,-1
34749,0,-1
36485,0,-1
19143,0,-1
70793,1,-1
32190,0,-1
73297,1,-1
33638,0,-1
35860,0,-1
48332,1,-1
33478,0,-1
48564,1,-1
34509,0,-1
34635,0,-1
