,0,1,2,3,4,5,6,7,8,9,10,11
75526,0.0494789999999999,0.05929,0.099712,0.089727,0.182849,0.1198659999999999,0.143289,0.136745,0.240004,0.192689,0.16053,0.29073
76692,0.04484,0.1161669999999999,0.105696,0.089981,0.184696,0.115038,0.094468,0.198208,0.201067,0.246595,0.144349,0.326022
20784,0.0870909999999999,0.098213,0.066178,0.106304,0.14618,0.139366,0.134381,0.164929,0.2427349999999999,0.235117,0.120884,0.278963
76871,0.046938,0.105584,0.109062,0.091176,0.162814,0.125059,0.1053539999999999,0.201887,0.188765,0.146415,0.131281,0.336331
59570,0.050678,0.088483,0.092953,0.114496,0.203697,0.123106,0.1119319999999999,0.167397,0.220988,0.2442289999999999,0.124469,0.2827179999999999
75620,0.051632,0.050134,0.100243,0.092857,0.17175,0.143923,0.113712,0.147428,0.222089,0.260649,0.154211,0.275619
76859,0.0447269999999999,0.1080349999999999,0.108716,0.085555,0.171501,0.119855,0.104303,0.2145939999999999,0.193908,0.2052749999999999,0.137377,0.353958
20702,0.096954,0.099646,0.092981,0.077095,0.117722,0.113932,0.126749,0.185762,0.2265899999999999,0.19253,0.116014,0.277821
76305,0.04889,0.095113,0.105149,0.093253,0.170206,0.134984,0.088846,0.170989,0.232404,0.232092,0.135309,0.258975
76706,0.044104,0.095412,0.103214,0.0917399999999999,0.188691,0.1102929999999999,0.102326,0.211023,0.213821,0.219071,0.136993,0.330278
60129,0.050643,0.0892459999999999,0.106297,0.0863299999999999,0.150151,0.167069,0.133629,0.139074,0.235621,0.224584,0.17198,0.310849
76569,0.0463229999999999,0.111881,0.106128,0.0954349999999999,0.1891219999999999,0.1152089999999999,0.102517,0.22262,0.220197,0.214333,0.142314,0.294978
74368,0.064292,0.076475,0.092233,0.094276,0.204148,0.143144,0.146652,0.17815,0.228792,0.222761,0.140657,0.257074
75628,0.050447,0.064189,0.099851,0.086125,0.1702759999999999,0.141843,0.132565,0.148814,0.234398,0.276402,0.159303,0.284929
76791,0.044423,0.081247,0.110065,0.092582,0.19788,0.105767,0.097012,0.219314,0.172408,0.167072,0.143951,0.303109
10370,0.093956,0.107456,0.088624,0.095459,0.188929,0.138545,0.130504,0.144277,0.203563,0.2302199999999999,0.10488,0.23475
76269,0.050328,0.109533,0.1087689999999999,0.087796,0.1868169999999999,0.118146,0.10308,0.1911159999999999,0.209098,0.189099,0.15552,0.256231
76654,0.045332,0.110569,0.10888,0.093903,0.176205,0.114746,0.10384,0.190043,0.220669,0.204621,0.142639,0.339829
76836,0.045644,0.119457,0.110886,0.093748,0.199198,0.106728,0.085767,0.1756319999999999,0.188904,0.2032989999999999,0.130215,0.312794
75576,0.050793,0.065279,0.098612,0.090154,0.156796,0.120262,0.134718,0.147652,0.238184,0.257103,0.157063,0.283587
76630,0.04466,0.111712,0.106394,0.09376,0.194337,0.115869,0.106067,0.231813,0.222522,0.220725,0.141858,0.316245
75875,0.052438,0.08731,0.103802,0.0927839999999999,0.150688,0.113783,0.104972,0.194942,0.195077,0.21388,0.1465779999999999,0.257176
76778,0.047445,0.100982,0.107382,0.0949039999999999,0.193238,0.121219,0.129495,0.187547,0.20974,0.194125,0.136792,0.330793
76878,0.047065,0.105241,0.111538,0.092218,0.164464,0.101464,0.0860529999999999,0.19149,0.180446,0.1483259999999999,0.128639,0.329131
76792,0.046341,0.0976699999999999,0.109083,0.092827,0.178693,0.117155,0.099034,0.205577,0.179312,0.182276,0.135687,0.278799
76437,0.0449179999999999,0.09429,0.104602,0.09375,0.204464,0.106784,0.102548,0.237291,0.192152,0.215673,0.13602,0.333405
76182,0.052877,0.058467,0.1008859999999999,0.0960849999999999,0.209515,0.153913,0.140981,0.193644,0.207662,0.230598,0.150129,0.269813
76446,0.046534,0.101616,0.1068929999999999,0.092415,0.2013019999999999,0.122136,0.094853,0.19704,0.243563,0.257259,0.146884,0.285008
76784,0.045467,0.109252,0.108177,0.085339,0.161199,0.108136,0.084029,0.163183,0.204141,0.20678,0.146695,0.33521
76468,0.046336,0.1321439999999999,0.105328,0.092894,0.17299,0.142386,0.110169,0.163268,0.234801,0.246251,0.146986,0.290056
76099,0.0480499999999999,0.110206,0.101513,0.0914669999999999,0.16736,0.142424,0.104962,0.169554,0.254287,0.253803,0.146698,0.284194
76912,0.04698,0.1101699999999999,0.1067549999999999,0.0944069999999999,0.188577,0.119157,0.093497,0.172951,0.1954949999999999,0.173105,0.152601,0.29584
76794,0.046006,0.0961239999999999,0.105478,0.098691,0.181324,0.121748,0.098462,0.189277,0.218669,0.1714399999999999,0.14029,0.323508
38583,0.069675,0.114823,0.107117,0.0854149999999999,0.148889,0.196376,0.141292,0.132809,0.245493,0.218386,0.161979,0.286634
40460,0.051909,0.071748,0.088038,0.092276,0.114868,0.132906,0.121126,0.154356,0.1972939999999999,0.190357,0.1084239999999999,0.252259
76013,0.048447,0.104597,0.105158,0.0946429999999999,0.187084,0.103269,0.140871,0.184268,0.1832849999999999,0.228039,0.14972,0.310457
60139,0.04714,0.100572,0.098767,0.0859939999999999,0.1248119999999999,0.153531,0.104113,0.1733869999999999,0.256533,0.269084,0.107729,0.293723
30713,0.048166,0.12222,0.084725,0.114151,0.1326399999999999,0.082549,0.156608,0.169328,0.223413,0.2338289999999999,0.163502,0.296748
76732,0.0451499999999999,0.103072,0.10732,0.086554,0.182112,0.122316,0.097075,0.183549,0.178952,0.163887,0.140235,0.274787
72056,0.064172,0.095853,0.09115,0.101327,0.22671,0.107689,0.172035,0.2391519999999999,0.197905,0.221735,0.131095,0.267605
76573,0.0460179999999999,0.097072,0.104582,0.0931819999999999,0.201004,0.112614,0.0981409999999999,0.2269709999999999,0.2197899999999999,0.197461,0.1370529999999999,0.338538
75698,0.04767,0.067621,0.106394,0.091511,0.153476,0.1025109999999999,0.1025799999999999,0.164489,0.215573,0.246055,0.154662,0.273254
20690,0.098981,0.106901,0.103297,0.0993329999999999,0.104083,0.120556,0.112438,0.174749,0.240641,0.22805,0.111595,0.28836
75508,0.048231,0.0472769999999999,0.1063519999999999,0.089899,0.172686,0.108514,0.133204,0.14528,0.221168,0.171285,0.1653559999999999,0.30058
75840,0.051746,0.088383,0.100365,0.093028,0.163188,0.120323,0.102646,0.175858,0.2353559999999999,0.2400209999999999,0.143844,0.2742279999999999
40347,0.054034,0.050933,0.084601,0.092832,0.163808,0.140817,0.151079,0.169493,0.2203999999999999,0.216941,0.103892,0.2415139999999999
76601,0.044686,0.10481,0.107136,0.097231,0.1713329999999999,0.122285,0.109641,0.2005249999999999,0.223748,0.19559,0.142885,0.309981
76765,0.04597,0.098615,0.108788,0.090735,0.167752,0.121567,0.086432,0.168595,0.168736,0.183783,0.1373639999999999,0.307433
76790,0.045606,0.079301,0.103528,0.091419,0.187207,0.111705,0.090529,0.201455,0.16313,0.191236,0.14064,0.289345
70049,0.074005,0.121207,0.082667,0.093766,0.176261,0.12375,0.131453,0.171059,0.22329,0.222046,0.091491,0.30885
72925,0.066215,0.092889,0.060213,0.094798,0.101096,0.152257,0.151058,0.131805,0.267577,0.272263,0.177579,0.241063
76136,0.052266,0.110934,0.102814,0.0881589999999999,0.175017,0.136908,0.098248,0.161122,0.216887,0.215651,0.15276,0.267436
40443,0.050204,0.0612,0.084904,0.0927149999999999,0.1213909999999999,0.155992,0.157005,0.17489,0.233988,0.229785,0.119918,0.270466
75850,0.047994,0.080114,0.105418,0.093317,0.15664,0.130441,0.097758,0.177199,0.2294729999999999,0.222717,0.1499629999999999,0.272467
20793,0.099922,0.094887,0.07497,0.103842,0.117365,0.1399409999999999,0.14062,0.176441,0.210135,0.195182,0.142272,0.3017269999999999
40739,0.062742,0.075114,0.098497,0.068433,0.169591,0.147915,0.136938,0.143436,0.208944,0.196809,0.111147,0.275492
76095,0.048996,0.096212,0.109329,0.094547,0.1602029999999999,0.142426,0.106293,0.166291,0.217363,0.234927,0.155477,0.269991
76295,0.051081,0.103526,0.108441,0.093193,0.188841,0.117828,0.0867179999999999,0.201157,0.249265,0.234669,0.144583,0.29452
76576,0.044813,0.110898,0.109306,0.090026,0.202565,0.117979,0.101202,0.224821,0.223059,0.2049419999999999,0.143157,0.330687
76789,0.047158,0.090473,0.110111,0.087905,0.205272,0.117001,0.098536,0.1924769999999999,0.176478,0.2063789999999999,0.138887,0.30762
