,z,cluster
49128,1,3
26716,0,3
45249,1,3
49051,1,3
48453,1,3
48259,1,3
26336,0,3
47514,1,3
44452,1,3
46533,1,3
46743,1,3
48356,1,3
47687,1,3
46726,1,3
45213,1,3
47026,1,3
46848,1,3
49911,1,3
49655,1,3
67647,1,3
67360,1,3
49045,1,3
45201,1,3
45196,1,3
49209,1,3
48841,1,3
48540,1,3
48496,1,3
48941,1,3
44887,1,3
46759,1,3
47571,1,3
26130,0,3
47002,1,3
44883,1,3
47637,1,3
45214,1,3
47630,1,3
47035,1,3
67385,1,3
47146,1,3
49906,1,3
26621,0,3
46001,1,3
67400,1,3
49570,1,3
44878,1,3
45239,1,3
26419,0,3
26439,0,3
44873,1,3
45374,1,3
46755,1,3
48495,1,3
49258,1,3
46442,1,3
48556,1,3
49802,1,3
44893,1,3
45108,1,3
45662,1,3
48551,1,3
67362,1,3
44307,1,3
45242,1,3
46696,1,3
45238,1,3
47634,1,3
47537,1,3
49253,1,3
47064,1,3
49558,1,3
44904,1,3
49111,1,3
47105,1,3
48541,1,3
45237,1,3
26777,0,3
49095,1,3
48513,1,3
45085,1,3
48179,1,3
47161,1,3
48862,1,3
48032,1,3
45131,1,3
45181,1,3
48699,1,3
49566,1,3
47698,1,3
48560,1,3
44866,1,3
45220,1,3
67402,1,3
48869,1,3
45267,1,3
45227,1,3
48423,1,3
49480,1,3
45483,1,3
45209,1,3
45367,1,3
48868,1,3
47547,1,3
48384,1,3
47542,1,3
44984,1,3
47011,1,3
47697,1,3
26627,0,3
44230,1,3
48900,1,3
49255,1,3
47600,1,3
47652,1,3
47638,1,3
47757,1,3
46537,1,3
46576,1,3
47569,1,3
49056,1,3
47676,1,3
64877,1,3
48421,1,3
48466,1,3
26872,0,3
49119,1,3
45256,1,3
46703,1,3
48349,1,3
48542,1,3
48433,1,3
47714,1,3
46884,1,3
45355,1,3
46711,1,3
67393,1,3
45269,1,3
48451,1,3
47519,1,3
49120,1,3
46971,1,3
48086,1,3
48854,1,3
49574,1,3
44298,1,3
26349,0,3
64903,1,3
67636,1,3
47024,1,3
46886,1,3
44336,1,3
26697,0,3
48341,1,3
26622,0,3
44355,1,3
43970,1,3
48522,1,3
49204,1,3
26337,0,3
49657,1,3
48354,1,3
45376,1,3
48708,1,3
48720,1,3
48434,1,3
47700,1,3
47675,1,3
49510,1,3
48901,1,3
46689,1,3
46564,1,3
67384,1,3
47692,1,3
44574,1,3
47679,1,3
26642,0,3
46468,1,3
45353,1,3
48258,1,3
44541,1,3
48534,1,3
49572,1,3
48898,1,3
47763,1,3
47622,1,3
46746,1,3
47612,1,3
46073,1,3
67620,1,3
45356,1,3
67446,1,3
49507,1,3
44231,1,3
67445,1,3
44361,1,3
47580,1,3
47722,1,3
44338,1,3
48377,1,3
46975,1,3
45160,1,3
47020,1,3
45195,1,3
48553,1,3
48874,1,3
47081,1,3
49577,1,3
44561,1,3
47104,1,3
45375,1,3
47615,1,3
26640,0,3
45236,1,3
45191,1,3
48449,1,3
47937,1,3
46595,1,3
46657,1,3
48514,1,3
49909,1,3
26446,0,3
49964,1,3
49559,1,3
