,0,1,2,3,4,5,6,7,8,9,10,11
71219,0.102786,0.115861,0.061353,0.099699,0.05605,0.223658,0.180744,0.217285,0.19652,0.201033,0.130099,0.272166
32397,0.060173,0.075718,0.0966649999999999,0.115933,0.089667,0.1465189999999999,0.129523,0.17173,0.19875,0.2264399999999999,0.169399,0.268477
73609,0.064726,0.091093,0.0974569999999999,0.080687,0.132834,0.178517,0.192324,0.23052,0.151898,0.246221,0.147615,0.176728
73019,0.062956,0.108559,0.0828769999999999,0.096142,0.082454,0.191553,0.150456,0.155184,0.229632,0.2032,0.146425,0.180772
71253,0.052714,0.106524,0.077679,0.103776,0.124,0.2143659999999999,0.182386,0.215792,0.1698039999999999,0.208716,0.145302,0.254586
31303,0.047708,0.131572,0.102317,0.098644,0.137896,0.219341,0.2064959999999999,0.17922,0.187758,0.1970329999999999,0.145408,0.233744
40334,0.04796,0.068121,0.085485,0.0931439999999999,0.171863,0.163042,0.1611939999999999,0.147639,0.177664,0.205911,0.114288,0.227712
38731,0.046563,0.10081,0.0936009999999999,0.0902989999999999,0.106132,0.214093,0.164201,0.176146,0.133996,0.193651,0.088223,0.22917
71658,0.054393,0.117239,0.067175,0.1073949999999999,0.144471,0.2221699999999999,0.189468,0.207349,0.158383,0.186022,0.133212,0.1811809999999999
31351,0.051289,0.094676,0.077659,0.1090279999999999,0.1425249999999999,0.180717,0.191365,0.182207,0.200039,0.202338,0.11154,0.244789
40534,0.059696,0.064775,0.099511,0.0994999999999999,0.132565,0.175338,0.162275,0.183526,0.202786,0.181079,0.136272,0.2466799999999999
20769,0.094775,0.110055,0.09161,0.1122659999999999,0.123901,0.162364,0.163541,0.204886,0.2163479999999999,0.207374,0.116203,0.255718
73008,0.065959,0.109268,0.0655159999999999,0.0869139999999999,0.095511,0.175346,0.130091,0.163125,0.2227509999999999,0.1934479999999999,0.134227,0.224539
40501,0.061013,0.073745,0.0991799999999999,0.097721,0.091312,0.157338,0.1555659999999999,0.210329,0.171985,0.166693,0.134657,0.25989
32850,0.070095,0.078508,0.057986,0.1056039999999999,0.14955,0.151126,0.123983,0.157962,0.198216,0.227348,0.188824,0.248268
32634,0.0611709999999999,0.115895,0.055346,0.103348,0.0910319999999999,0.126647,0.133047,0.202973,0.175095,0.172777,0.1610079999999999,0.2116029999999999
36189,0.06061,0.092824,0.059932,0.092271,0.084288,0.2137099999999999,0.18456,0.209972,0.228653,0.262086,0.135295,0.149107
38559,0.07057,0.124912,0.101859,0.092055,0.127919,0.2070469999999999,0.136797,0.159425,0.205874,0.166255,0.164618,0.270146
60034,0.052651,0.110862,0.085795,0.106922,0.144869,0.164213,0.192828,0.2072729999999999,0.14641,0.2094109999999999,0.137032,0.273517
73596,0.063971,0.105125,0.097034,0.083454,0.130813,0.167771,0.1729029999999999,0.2138779999999999,0.20339,0.206898,0.1157729999999999,0.21772
40485,0.046795,0.069263,0.05421,0.092674,0.0727599999999999,0.154301,0.161754,0.1745949999999999,0.200803,0.197295,0.143853,0.263708
31333,0.050179,0.107305,0.097048,0.105319,0.1481869999999999,0.191579,0.189415,0.180247,0.195775,0.19117,0.104618,0.206154
73117,0.0628219999999999,0.099618,0.10417,0.093254,0.101498,0.205598,0.145668,0.202381,0.169862,0.112522,0.0607129999999999,0.159456
73400,0.064486,0.106796,0.10253,0.08256,0.054548,0.250697,0.193637,0.175378,0.2183459999999999,0.231221,0.161223,0.2004329999999999
38526,0.070731,0.123217,0.108982,0.087575,0.117735,0.211898,0.158839,0.1926439999999999,0.205026,0.1872329999999999,0.161582,0.264271
30996,0.06827,0.078217,0.076794,0.098799,0.099083,0.089473,0.142034,0.223711,0.263387,0.266047,0.144886,0.2406599999999999
31177,0.048822,0.106744,0.074652,0.112116,0.138447,0.208085,0.1831269999999999,0.175992,0.180336,0.204189,0.1268449999999999,0.225328
73396,0.066809,0.113866,0.09881,0.085066,0.05832,0.258948,0.17784,0.183987,0.185473,0.203795,0.147012,0.18795
73454,0.064034,0.104366,0.0868459999999999,0.085664,0.073867,0.246278,0.209999,0.1411079999999999,0.193975,0.182759,0.093421,0.185482
40533,0.0561059999999999,0.052536,0.1013749999999999,0.099602,0.107835,0.194957,0.201424,0.170196,0.1846809999999999,0.172363,0.130129,0.220627
37634,0.066911,0.069342,0.067157,0.090921,0.091113,0.245631,0.198517,0.210689,0.189273,0.1981419999999999,0.0832729999999999,0.170563
70285,0.042598,0.098359,0.0879669999999999,0.10977,0.109232,0.161789,0.183972,0.2145169999999999,0.151418,0.212582,0.184187,0.168542
31335,0.0489179999999999,0.110464,0.0885529999999999,0.103811,0.146499,0.189139,0.1909969999999999,0.1884209999999999,0.187547,0.191051,0.1138749999999999,0.202063
31000,0.071253,0.076711,0.0874959999999999,0.1070079999999999,0.1063829999999999,0.079951,0.1418849999999999,0.235124,0.2450959999999999,0.252651,0.1772159999999999,0.244578
50411,0.046804,0.095073,0.10071,0.104781,0.137786,0.17329,0.16742,0.154396,0.176251,0.2084339999999999,0.1557579999999999,0.2471809999999999
37614,0.0530039999999999,0.128125,0.056482,0.091438,0.103768,0.240313,0.1809809999999999,0.210378,0.178365,0.182676,0.08474,0.27329
40535,0.062117,0.0562999999999999,0.0966259999999999,0.1085609999999999,0.130424,0.167104,0.1565649999999999,0.176433,0.18317,0.194279,0.14386,0.23602
31340,0.053815,0.102087,0.091986,0.099029,0.129414,0.202395,0.205868,0.180049,0.205894,0.184108,0.109404,0.206658
73600,0.0664879999999999,0.112254,0.099217,0.087133,0.125967,0.144249,0.154823,0.211264,0.1833449999999999,0.22126,0.116013,0.193871
73398,0.065014,0.080639,0.0972109999999999,0.0906279999999999,0.049847,0.226025,0.1817,0.150272,0.238497,0.198186,0.153834,0.253988
40551,0.060339,0.073168,0.0903009999999999,0.109131,0.097372,0.155939,0.137337,0.182395,0.140827,0.1663319999999999,0.156991,0.302597
31347,0.048391,0.109459,0.092067,0.105623,0.140953,0.194901,0.2094569999999999,0.1837879999999999,0.1975819999999999,0.19544,0.1046909999999999,0.19283
32627,0.064291,0.116516,0.059224,0.096666,0.088674,0.146021,0.131218,0.190214,0.190028,0.173948,0.158279,0.220818
73584,0.066923,0.1145679999999999,0.0897669999999999,0.078707,0.132247,0.14212,0.154194,0.243218,0.164475,0.1945609999999999,0.169325,0.215398
32620,0.057146,0.1281439999999999,0.049359,0.096745,0.091246,0.155281,0.141434,0.184673,0.184526,0.155086,0.160726,0.199162
40502,0.059064,0.077255,0.0889209999999999,0.101639,0.0948499999999999,0.155145,0.174207,0.199758,0.13446,0.1406349999999999,0.141987,0.2319709999999999
50409,0.045825,0.097568,0.0986689999999999,0.098054,0.140084,0.1663609999999999,0.168499,0.151301,0.162708,0.195474,0.156936,0.22306
71231,0.0642129999999999,0.11337,0.0571359999999999,0.100114,0.09182,0.1906149999999999,0.187551,0.240197,0.171476,0.190559,0.105127,0.2582
40509,0.065174,0.044051,0.099405,0.105115,0.084036,0.1727969999999999,0.178585,0.195137,0.170321,0.173585,0.1418009999999999,0.260389
31344,0.051975,0.10213,0.088648,0.095151,0.132926,0.2003859999999999,0.202941,0.179263,0.196367,0.190991,0.105313,0.201338
21182,0.077094,0.086569,0.089679,0.094971,0.157649,0.15241,0.178174,0.140998,0.216933,0.222431,0.143292,0.223631
31178,0.047342,0.1242939999999999,0.087062,0.110029,0.134093,0.2098499999999999,0.1828109999999999,0.177672,0.186248,0.208042,0.131272,0.243104
36369,0.059968,0.0787279999999999,0.06282,0.099518,0.059168,0.18225,0.144274,0.174295,0.157513,0.1996689999999999,0.164663,0.175545
31345,0.046819,0.096652,0.085599,0.102507,0.126469,0.193276,0.197988,0.18336,0.198378,0.199115,0.119084,0.2057189999999999
71242,0.052596,0.0999959999999999,0.0549399999999999,0.100392,0.132135,0.243827,0.166399,0.211326,0.1473809999999999,0.1957209999999999,0.113135,0.21814
50399,0.05489,0.106099,0.104413,0.117022,0.153268,0.17777,0.175171,0.153204,0.176434,0.207134,0.142459,0.201152
35886,0.0546,0.092926,0.097515,0.081018,0.152342,0.25432,0.2018819999999999,0.207265,0.172255,0.252174,0.113284,0.2072929999999999
73589,0.061954,0.101738,0.102919,0.0895459999999999,0.129145,0.149953,0.172656,0.20284,0.202335,0.214198,0.136314,0.238386
73625,0.069495,0.109448,0.0867619999999999,0.0781029999999999,0.128574,0.185933,0.188266,0.235955,0.168808,0.222472,0.136853,0.207918
40496,0.045178,0.073054,0.099161,0.095128,0.077595,0.158507,0.130916,0.177667,0.203598,0.215253,0.13026,0.243557
50418,0.050452,0.102807,0.098439,0.102027,0.199163,0.174533,0.172338,0.192529,0.179773,0.1961169999999999,0.161766,0.247409
32639,0.0592839999999999,0.11877,0.059917,0.11891,0.0917709999999999,0.118551,0.139235,0.216688,0.177042,0.175636,0.160511,0.215531
37651,0.072437,0.073603,0.0558129999999999,0.099868,0.11894,0.200963,0.1893639999999999,0.199661,0.206388,0.18891,0.090943,0.1716069999999999
73465,0.063255,0.082961,0.087819,0.09127,0.050583,0.2322749999999999,0.226415,0.131033,0.191418,0.160707,0.119192,0.171365
