,z,cluster
15220,0,2
16022,0,2
13978,0,2
14346,0,2
15556,0,2
14853,0,2
13883,0,2
15410,0,2
13494,0,2
15287,0,2
14020,0,2
15952,0,2
14196,0,2
14109,0,2
16503,0,2
15896,0,2
13809,0,2
15600,0,2
15232,0,2
15941,0,2
16496,0,2
15417,0,2
14404,0,2
14195,0,2
16812,0,2
15647,0,2
15352,0,2
15958,0,2
16520,0,2
14292,0,2
16358,0,2
14588,0,2
13774,0,2
15369,0,2
15465,0,2
13380,0,2
16155,0,2
13798,0,2
14813,0,2
14527,0,2
15237,0,2
14025,0,2
14240,0,2
14548,0,2
15442,0,2
13385,0,2
14283,0,2
14197,0,2
14557,0,2
16559,0,2
15466,0,2
14148,0,2
15553,0,2
16079,0,2
15822,0,2
15098,0,2
13363,0,2
16346,0,2
16009,0,2
16001,0,2
14393,0,2
16526,0,2
15390,0,2
14437,0,2
14319,0,2
15974,0,2
16807,0,2
14308,0,2
16515,0,2
15862,0,2
13386,0,2
16239,0,2
15681,0,2
16249,0,2
15487,0,2
15185,0,2
16217,0,2
13965,0,2
15414,0,2
15194,0,2
13554,0,2
15368,0,2
16183,0,2
14494,0,2
15186,0,2
13453,0,2
13323,0,2
15234,0,2
14674,0,2
15676,0,2
16304,0,2
14236,0,2
14724,0,2
13723,0,2
14144,0,2
1147,0,2
14385,0,2
14568,0,2
14255,0,2
13865,0,2
16254,0,2
13991,0,2
15882,0,2
14593,0,2
13711,0,2
16018,0,2
15498,0,2
16236,0,2
13451,0,2
15034,0,2
14650,0,2
13403,0,2
14176,0,2
16459,0,2
13924,0,2
16019,0,2
15582,0,2
14893,0,2
16504,0,2
14749,0,2
15628,0,2
14741,0,2
14016,0,2
15598,0,2
16460,0,2
17884,0,2
13022,0,2
16521,0,2
16345,0,2
14645,0,2
14111,0,2
14596,0,2
15527,0,2
13399,0,2
14475,0,2
14627,0,2
15423,0,2
14064,0,2
16248,0,2
14036,0,2
13269,0,2
13428,0,2
16466,0,2
14057,0,2
15437,0,2
15994,0,2
13328,0,2
15753,0,2
14436,0,2
14174,0,2
