,0,1,2,3,4,5,6,7,8,9,10,11
18257,0.045023,0.1082799999999999,0.071464,0.082835,0.114829,0.122933,0.132613,0.146261,0.09824,0.076274,0.125074,0.167575
18657,0.0469179999999999,0.073682,0.093126,0.09515,0.0835249999999999,0.084438,0.134953,0.143819,0.100775,0.07444,0.127303,0.171168
19346,0.046046,0.102225,0.093651,0.104131,0.120098,0.128618,0.134742,0.165857,0.103369,0.077425,0.126835,0.183519
36794,0.067143,0.0573,0.060011,0.089542,0.106542,0.089822,0.071652,0.175387,0.091496,0.095285,0.168486,0.177708
19729,0.0544949999999999,0.064828,0.104461,0.0950719999999999,0.104167,0.136022,0.137935,0.152269,0.0912839999999999,0.076459,0.116088,0.171363
79613,0.050856,0.074667,0.103207,0.098906,0.150457,0.1138599999999999,0.07208,0.122462,0.0619899999999999,0.149053,0.154584,0.168074
23322,0.05061,0.109484,0.062081,0.094354,0.147972,0.125933,0.132735,0.125692,0.099648,0.108329,0.10667,0.196241
1189,0.050599,0.07534,0.093861,0.089397,0.153449,0.155038,0.147616,0.066794,0.0546839999999999,0.110427,0.15253,0.1724119999999999
78809,0.047444,0.117367,0.1109769999999999,0.0996809999999999,0.150683,0.140028,0.140196,0.130275,0.0817779999999999,0.128136,0.1563979999999999,0.223622
18430,0.046971,0.113218,0.083312,0.080326,0.088034,0.102077,0.128685,0.153383,0.098785,0.072659,0.125159,0.167409
13001,0.0495819999999999,0.0987459999999999,0.107978,0.0802769999999999,0.146024,0.121848,0.117767,0.094687,0.133527,0.062759,0.1558189999999999,0.180252
19584,0.051704,0.078291,0.087987,0.088152,0.1207879999999999,0.135544,0.146778,0.145549,0.098681,0.07998,0.127532,0.185108
78968,0.046912,0.114699,0.111178,0.091358,0.136707,0.160442,0.159357,0.125542,0.073494,0.132043,0.155061,0.229646
1857,0.054896,0.104225,0.104157,0.094954,0.153214,0.160728,0.154924,0.0691099999999999,0.059673,0.094382,0.15702,0.198439
19767,0.04839,0.0683059999999999,0.098327,0.088248,0.091903,0.140817,0.145075,0.14507,0.098674,0.077967,0.11413,0.1862069999999999
18218,0.048361,0.076764,0.062747,0.096925,0.116008,0.131479,0.145361,0.116593,0.095413,0.0756189999999999,0.129217,0.185084
19809,0.049202,0.081671,0.099269,0.099329,0.088624,0.142472,0.140341,0.150729,0.101384,0.073814,0.1147739999999999,0.181808
19747,0.060651,0.067594,0.1007049999999999,0.08583,0.090756,0.137815,0.12904,0.146062,0.089142,0.0748,0.114136,0.1623369999999999
18069,0.050648,0.096247,0.0991789999999999,0.096298,0.132247,0.076089,0.088114,0.103589,0.089951,0.075337,0.130665,0.185629
18185,0.042864,0.086255,0.083672,0.09355,0.140513,0.085601,0.1189269999999999,0.121013,0.103914,0.082244,0.131861,0.2321069999999999
1083,0.064262,0.0979749999999999,0.088925,0.093973,0.155379,0.155711,0.146344,0.065896,0.079603,0.068988,0.138736,0.147459
18526,0.047644,0.106485,0.091792,0.09618,0.085981,0.087681,0.1192859999999999,0.145261,0.09718,0.07081,0.128216,0.125525
79787,0.050262,0.072336,0.1085619999999999,0.093007,0.147908,0.148879,0.1032029999999999,0.125727,0.080685,0.146877,0.158995,0.210516
79237,0.0488959999999999,0.093505,0.1055059999999999,0.098577,0.154297,0.139437,0.112036,0.1303919999999999,0.06366,0.106795,0.1557629999999999,0.1820179999999999
79665,0.046364,0.0775889999999999,0.107339,0.0920989999999999,0.148895,0.144868,0.102058,0.11808,0.062039,0.09121,0.163924,0.182435
17782,0.059063,0.097682,0.0913819999999999,0.08753,0.125357,0.130776,0.134221,0.082548,0.102675,0.079571,0.112165,0.185579
19617,0.054006,0.062217,0.090691,0.093661,0.099258,0.1403889999999999,0.145774,0.140747,0.106416,0.07971,0.128545,0.178162
18481,0.0463699999999999,0.060031,0.061824,0.0955439999999999,0.0874349999999999,0.091815,0.1141949999999999,0.131468,0.086089,0.073922,0.133161,0.162422
17511,0.058903,0.075158,0.085652,0.100603,0.103887,0.165333,0.149906,0.088918,0.09736,0.087774,0.11951,0.181582
17869,0.048837,0.067422,0.101615,0.084064,0.110724,0.131467,0.148887,0.070082,0.0921589999999999,0.0806709999999999,0.132465,0.159475
79466,0.050806,0.0849,0.100889,0.0954989999999999,0.149045,0.127016,0.107299,0.129927,0.084882,0.145085,0.156892,0.206033
79567,0.049418,0.074896,0.099693,0.0965729999999999,0.145168,0.129529,0.09312,0.121816,0.070142,0.120107,0.160519,0.222486
78919,0.046594,0.1071299999999999,0.110477,0.095502,0.146952,0.138128,0.150351,0.140601,0.061828,0.098084,0.155304,0.2177049999999999
79838,0.0498679999999999,0.086557,0.104789,0.090616,0.15424,0.131058,0.113861,0.130151,0.067893,0.149189,0.161593,0.17925
79641,0.044767,0.07703,0.105183,0.095455,0.150692,0.120519,0.106652,0.122698,0.050877,0.126847,0.160581,0.177834
18040,0.045917,0.106458,0.098114,0.097075,0.121753,0.0961389999999999,0.121567,0.081415,0.094741,0.074891,0.126287,0.190748
79865,0.054634,0.079516,0.105624,0.095867,0.146584,0.146052,0.104639,0.117597,0.060086,0.129741,0.1496579999999999,0.180662
18530,0.049023,0.104945,0.0908409999999999,0.100245,0.0865959999999999,0.100146,0.123505,0.146523,0.091551,0.074093,0.132166,0.161838
17722,0.055777,0.110892,0.09318,0.0985019999999999,0.1263679999999999,0.127483,0.1328669999999999,0.082329,0.097699,0.074854,0.120229,0.172464
17475,0.058764,0.053349,0.094829,0.091631,0.113896,0.17387,0.161691,0.087483,0.084476,0.088701,0.117857,0.183641
1322,0.058743,0.071115,0.087779,0.091653,0.150353,0.153817,0.152767,0.066636,0.0903829999999999,0.09573,0.145816,0.21818
1897,0.0652799999999999,0.091739,0.107039,0.109736,0.16954,0.155402,0.150357,0.071708,0.081911,0.138892,0.121474,0.1727459999999999
17764,0.062486,0.0898119999999999,0.099849,0.096339,0.138188,0.126746,0.147931,0.081796,0.094448,0.075762,0.112401,0.184139
19588,0.054276,0.066575,0.084014,0.084657,0.127227,0.133498,0.146391,0.150553,0.098488,0.080452,0.124986,0.176389
17835,0.0471469999999999,0.101928,0.096112,0.094149,0.122786,0.137409,0.151904,0.0733439999999999,0.1039959999999999,0.0851919999999999,0.133384,0.210149
18042,0.044907,0.103396,0.093385,0.095079,0.118892,0.0874259999999999,0.120929,0.086169,0.098369,0.074207,0.127957,0.206976
17870,0.0501919999999999,0.078176,0.098092,0.08148,0.100451,0.128049,0.141699,0.076238,0.104062,0.0870909999999999,0.129429,0.139989
79484,0.049359,0.1015889999999999,0.1064659999999999,0.094619,0.149223,0.085482,0.12528,0.124245,0.088476,0.126018,0.158943,0.222372
17677,0.0626729999999999,0.102851,0.098566,0.088928,0.152139,0.177404,0.165085,0.076129,0.108481,0.078332,0.111668,0.19481
18125,0.049503,0.096131,0.065831,0.102697,0.124289,0.097483,0.09781,0.101468,0.102876,0.073255,0.1233949999999999,0.22232
21097,0.078691,0.103374,0.105665,0.086754,0.1245689999999999,0.182012,0.142346,0.11567,0.084494,0.151158,0.135718,0.134526
79218,0.052264,0.102945,0.107918,0.095257,0.155007,0.147607,0.107732,0.126741,0.056971,0.11983,0.158824,0.1501549999999999
18721,0.050444,0.0616359999999999,0.061586,0.089017,0.087315,0.1210079999999999,0.141754,0.145806,0.102741,0.074488,0.131855,0.131183
1833,0.064301,0.105281,0.098552,0.0909479999999999,0.152669,0.1559019999999999,0.155251,0.071704,0.0532749999999999,0.09677,0.144074,0.193595
1924,0.065685,0.0697499999999999,0.084758,0.096619,0.143968,0.159269,0.142345,0.067146,0.055013,0.107748,0.127581,0.167635
18452,0.048816,0.077947,0.0661829999999999,0.080159,0.086613,0.098064,0.124295,0.150499,0.1002089999999999,0.076215,0.130029,0.137464
79862,0.047569,0.0973739999999999,0.10178,0.097931,0.1416649999999999,0.136554,0.119136,0.122372,0.064915,0.121529,0.155713,0.21507
19983,0.050358,0.071667,0.090228,0.093274,0.084859,0.138063,0.144905,0.1566779999999999,0.097175,0.074728,0.110273,0.183562
17895,0.047016,0.110605,0.074755,0.0845979999999999,0.099648,0.153361,0.159639,0.0784769999999999,0.097635,0.085523,0.130203,0.141503
79411,0.049699,0.101803,0.102719,0.096401,0.142415,0.122826,0.123374,0.135962,0.070605,0.140091,0.1608129999999999,0.205256
18586,0.046837,0.1070159999999999,0.090121,0.089673,0.087287,0.085632,0.126819,0.14424,0.100617,0.073635,0.130771,0.196507
78900,0.0505959999999999,0.094871,0.105225,0.0920599999999999,0.137249,0.146557,0.15427,0.133777,0.085388,0.131235,0.155065,0.251393
79520,0.0500699999999999,0.082967,0.101323,0.0997359999999999,0.148793,0.1376399999999999,0.1110599999999999,0.126908,0.0851629999999999,0.128685,0.155256,0.2203399999999999
19537,0.047362,0.069965,0.094251,0.09146,0.138642,0.1204129999999999,0.130784,0.139425,0.098068,0.07944,0.132932,0.17027
18238,0.0453099999999999,0.1079519999999999,0.062041,0.0968859999999999,0.114475,0.111206,0.108544,0.142916,0.089757,0.075077,0.131586,0.129198
79841,0.049339,0.092131,0.108732,0.090455,0.152506,0.14282,0.103848,0.128268,0.072413,0.158779,0.152852,0.188913
19923,0.047954,0.070352,0.099237,0.095468,0.078769,0.1462679999999999,0.137452,0.149029,0.096795,0.076649,0.116173,0.163106
18233,0.0450589999999999,0.0967929999999999,0.053022,0.104058,0.12932,0.1221199999999999,0.139847,0.118327,0.097127,0.079229,0.128558,0.196067
19867,0.049217,0.078946,0.096254,0.091956,0.075915,0.149164,0.146246,0.148585,0.098243,0.079125,0.115888,0.1711319999999999
17539,0.062565,0.0522539999999999,0.098041,0.067382,0.133459,0.160544,0.148682,0.084982,0.086303,0.0840659999999999,0.1126009999999999,0.202457
1817,0.053702,0.073363,0.096469,0.0947669999999999,0.154002,0.156799,0.151194,0.07188,0.063859,0.0895609999999999,0.144288,0.211078
19280,0.055451,0.059578,0.096228,0.0911619999999999,0.1394689999999999,0.14015,0.141097,0.151613,0.103476,0.076844,0.124086,0.147323
16837,0.068275,0.099025,0.082411,0.098409,0.1040789999999999,0.160062,0.133642,0.062739,0.083847,0.098731,0.127832,0.168511
17665,0.061584,0.096378,0.108831,0.088432,0.149708,0.1719429999999999,0.1671559999999999,0.081232,0.105153,0.07568,0.113582,0.1946999999999999
79826,0.050648,0.079064,0.104549,0.097454,0.149292,0.12443,0.115868,0.134676,0.061417,0.146789,0.1521759999999999,0.175626
79432,0.046395,0.082911,0.1076,0.095378,0.145199,0.093465,0.127154,0.128761,0.082546,0.121377,0.158162,0.2231629999999999
17425,0.061888,0.112629,0.0558399999999999,0.096618,0.132942,0.167987,0.163409,0.085075,0.076267,0.085495,0.121089,0.182287
77049,0.054796,0.08578,0.105524,0.089655,0.137289,0.108494,0.101338,0.144347,0.0954989999999999,0.14478,0.143625,0.21022
79977,0.045453,0.065311,0.106812,0.095104,0.13763,0.155294,0.132487,0.125587,0.07445,0.145834,0.15434,0.2200379999999999
79646,0.046357,0.0744949999999999,0.103909,0.096502,0.149365,0.148707,0.101562,0.122103,0.04498,0.123584,0.156988,0.15503
