,z,cluster
48471,1,9
26221,0,9
49594,1,9
48459,1,9
44996,1,9
49548,1,9
44372,1,9
45124,1,9
48923,1,9
47080,1,9
26796,0,9
49105,1,9
49041,1,9
49718,1,9
49099,1,9
44558,1,9
46490,1,9
47588,1,9
46978,1,9
47595,1,9
44545,1,9
47625,1,9
46549,1,9
49431,1,9
47635,1,9
48979,1,9
48460,1,9
47078,1,9
26700,0,9
44364,1,9
48963,1,9
48703,1,9
44418,1,9
45274,1,9
44324,1,9
47546,1,9
49066,1,9
48924,1,9
26629,0,9
48975,1,9
47593,1,9
47197,1,9
67646,1,9
49323,1,9
45271,1,9
48822,1,9
49096,1,9
46486,1,9
49704,1,9
47101,1,9
46488,1,9
46679,1,9
48982,1,9
44408,1,9
49550,1,9
26329,0,9
44282,1,9
46477,1,9
47719,1,9
49664,1,9
49070,1,9
44223,1,9
48366,1,9
49763,1,9
49626,1,9
49132,1,9
47931,1,9
44391,1,9
49804,1,9
49362,1,9
47715,1,9
48022,1,9
48050,1,9
28236,0,9
48254,1,9
46485,1,9
44931,1,9
44397,1,9
47234,1,9
49117,1,9
48981,1,9
49579,1,9
47559,1,9
48951,1,9
49090,1,9
44495,1,9
20410,0,9
26298,0,9
46116,1,9
45138,1,9
48565,1,9
49084,1,9
49089,1,9
49592,1,9
48291,1,9
44405,1,9
48264,1,9
49357,1,9
45179,1,9
47686,1,9
44611,1,9
44494,1,9
47833,1,9
48847,1,9
48463,1,9
49135,1,9
47555,1,9
48984,1,9
46584,1,9
49043,1,9
48936,1,9
47354,1,9
46617,1,9
47768,1,9
47223,1,9
47120,1,9
64891,1,9
49086,1,9
48228,1,9
45159,1,9
48846,1,9
44473,1,9
44875,1,9
49102,1,9
49611,1,9
49100,1,9
49018,1,9
45156,1,9
49546,1,9
45171,1,9
44470,1,9
44550,1,9
49074,1,9
