,z,cluster
41349,1,5
41364,1,5
5857,0,5
5208,0,5
5321,0,5
5584,0,5
6303,0,5
5158,0,5
5359,0,5
7462,0,5
7553,0,5
6280,0,5
11803,0,5
5123,0,5
5651,0,5
7625,0,5
6290,0,5
5506,0,5
5172,0,5
5715,0,5
5124,0,5
7186,0,5
7375,0,5
5469,0,5
6200,0,5
6227,0,5
7411,0,5
6279,0,5
2774,0,5
5415,0,5
6462,0,5
6178,0,5
5663,0,5
5233,0,5
5609,0,5
5383,0,5
18787,0,5
7566,0,5
5063,0,5
5326,0,5
6182,0,5
7195,0,5
5162,0,5
74554,1,5
7525,0,5
5923,0,5
5855,0,5
7635,0,5
5343,0,5
7603,0,5
5256,0,5
5908,0,5
7438,0,5
7443,0,5
5221,0,5
5185,0,5
7185,0,5
7364,0,5
6449,0,5
6311,0,5
6293,0,5
7527,0,5
7409,0,5
5386,0,5
7458,0,5
5643,0,5
5431,0,5
5496,0,5
5468,0,5
6155,0,5
6198,0,5
7406,0,5
5083,0,5
6166,0,5
9523,0,5
63697,1,5
5615,0,5
7658,0,5
7510,0,5
5262,0,5
5401,0,5
5076,0,5
5125,0,5
7560,0,5
74981,1,5
5628,0,5
5353,0,5
7479,0,5
5024,0,5
2783,0,5
21755,0,5
5459,0,5
5895,0,5
41355,1,5
7372,0,5
7621,0,5
5057,0,5
5046,0,5
5630,0,5
6179,0,5
7620,0,5
6247,0,5
7365,0,5
5286,0,5
7496,0,5
5626,0,5
6258,0,5
5309,0,5
5217,0,5
7556,0,5
18798,0,5
7247,0,5
5295,0,5
5402,0,5
5802,0,5
5097,0,5
7474,0,5
5405,0,5
19291,0,5
5152,0,5
6363,0,5
7457,0,5
7420,0,5
2791,0,5
7661,0,5
5456,0,5
6162,0,5
5894,0,5
6381,0,5
6288,0,5
5614,0,5
7378,0,5
21491,0,5
18777,0,5
6309,0,5
5040,0,5
5327,0,5
5284,0,5
5120,0,5
5890,0,5
7613,0,5
6242,0,5
6229,0,5
5712,0,5
7634,0,5
5304,0,5
7633,0,5
5367,0,5
7399,0,5
6319,0,5
5492,0,5
6285,0,5
7444,0,5
2779,0,5
5725,0,5
5576,0,5
7538,0,5
18803,0,5
6252,0,5
21103,0,5
5674,0,5
6251,0,5
6151,0,5
5575,0,5
5501,0,5
5634,0,5
5602,0,5
6314,0,5
5035,0,5
6189,0,5
7541,0,5
5088,0,5
7380,0,5
5297,0,5
5650,0,5
5735,0,5
7426,0,5
5803,0,5
5508,0,5
7617,0,5
7505,0,5
7385,0,5
5600,0,5
5087,0,5
7515,0,5
5893,0,5
7644,0,5
7429,0,5
6196,0,5
5690,0,5
6267,0,5
18763,0,5
5646,0,5
5780,0,5
5774,0,5
5352,0,5
5090,0,5
7544,0,5
5127,0,5
5448,0,5
5618,0,5
7227,0,5
2800,0,5
7507,0,5
6160,0,5
7498,0,5
6237,0,5
5271,0,5
7276,0,5
7398,0,5
5757,0,5
7434,0,5
6306,0,5
6316,0,5
7499,0,5
5181,0,5
5465,0,5
5389,0,5
5888,0,5
6281,0,5
63695,1,5
5892,0,5
5355,0,5
5485,0,5
5342,0,5
5481,0,5
9513,0,5
5794,0,5
7572,0,5
7361,0,5
5864,0,5
7350,0,5
5411,0,5
5038,0,5
22532,0,5
5697,0,5
7400,0,5
7235,0,5
7407,0,5
18810,0,5
6394,0,5
5332,0,5
6276,0,5
2792,0,5
7469,0,5
7570,0,5
7191,0,5
6220,0,5
5440,0,5
5205,0,5
11804,0,5
5635,0,5
7609,0,5
5222,0,5
5375,0,5
7313,0,5
5813,0,5
7545,0,5
6126,0,5
5074,0,5
6318,0,5
7624,0,5
7619,0,5
5134,0,5
5302,0,5
5308,0,5
5486,0,5
7530,0,5
7178,0,5
5479,0,5
7628,0,5
5815,0,5
7629,0,5
5282,0,5
6312,0,5
18783,0,5
6302,0,5
6223,0,5
5357,0,5
5109,0,5
5378,0,5
5453,0,5
7508,0,5
5446,0,5
5766,0,5
5135,0,5
5236,0,5
5769,0,5
5068,0,5
5395,0,5
6310,0,5
5207,0,5
7590,0,5
5098,0,5
6177,0,5
5119,0,5
5230,0,5
7558,0,5
7639,0,5
74555,1,5
7542,0,5
5168,0,5
7452,0,5
5432,0,5
7432,0,5
5487,0,5
5873,0,5
7194,0,5
5418,0,5
5599,0,5
74568,1,5
19289,0,5
5330,0,5
7548,0,5
5622,0,5
6192,0,5
5209,0,5
5792,0,5
6031,0,5
7435,0,5
5261,0,5
7640,0,5
5791,0,5
5369,0,5
5699,0,5
5081,0,5
5582,0,5
5572,0,5
5736,0,5
5145,0,5
5692,0,5
5458,0,5
6472,0,5
3199,0,5
41358,1,5
5684,0,5
5253,0,5
