,z,cluster
51741,1,0
62945,1,0
24816,0,0
55220,1,0
2392,0,0
39227,0,0
62938,1,0
28644,0,0
21691,0,0
57067,1,0
59509,1,0
41936,1,0
66165,1,0
41710,1,0
3551,0,0
24927,0,0
8422,0,0
539,0,0
7218,0,0
50781,1,0
59572,1,0
76962,1,0
66716,1,0
4665,0,0
27673,0,0
53818,1,0
64304,1,0
11084,0,0
67084,1,0
24692,0,0
77418,1,0
61844,1,0
63545,1,0
7697,0,0
28474,0,0
42081,1,0
52046,1,0
27063,0,0
54354,1,0
55169,1,0
23839,0,0
3834,0,0
7792,0,0
17174,0,0
58115,1,0
43025,1,0
16846,0,0
77325,1,0
59141,1,0
78083,1,0
4994,0,0
61918,1,0
9616,0,0
4650,0,0
25265,0,0
75144,1,0
58869,1,0
17037,0,0
25354,0,0
25891,0,0
22978,0,0
41639,1,0
23098,0,0
53183,1,0
468,0,0
63707,1,0
67236,1,0
8917,0,0
25227,0,0
56817,1,0
74777,1,0
16860,0,0
8618,0,0
4298,0,0
54049,1,0
41637,1,0
453,0,0
44933,1,0
67858,1,0
43698,1,0
77217,1,0
52816,1,0
75068,1,0
7847,0,0
28910,0,0
58271,1,0
11466,0,0
27249,0,0
1038,0,0
77810,1,0
65836,1,0
27256,0,0
62315,1,0
60890,1,0
69167,1,0
9438,0,0
57330,1,0
3646,0,0
40412,1,0
63073,1,0
61636,1,0
41269,1,0
74703,1,0
42213,1,0
49826,1,0
6597,0,0
28686,0,0
55689,1,0
51882,1,0
29537,0,0
68863,1,0
461,0,0
3159,0,0
21149,0,0
55461,1,0
50885,1,0
62235,1,0
1650,0,0
76140,1,0
22656,0,0
26060,0,0
78564,1,0
62186,1,0
55695,1,0
50376,1,0
75303,1,0
6938,0,0
52732,1,0
51159,1,0
22332,0,0
58570,1,0
39224,0,0
62893,1,0
66905,1,0
63511,1,0
31514,0,0
61539,1,0
62650,1,0
25100,0,0
50723,1,0
51658,1,0
16928,0,0
2265,0,0
74992,1,0
68031,1,0
51736,1,0
1678,0,0
63891,1,0
43786,1,0
60852,1,0
69914,1,0
69981,1,0
9214,0,0
77930,1,0
6100,0,0
29299,0,0
78382,1,0
21967,0,0
57488,1,0
22291,0,0
41305,1,0
78597,1,0
2919,0,0
77092,1,0
24896,0,0
24846,0,0
73809,1,0
58360,1,0
7879,0,0
53836,1,0
25387,0,0
42878,1,0
64367,1,0
64039,1,0
39361,0,0
57965,1,0
28410,0,0
74257,1,0
4375,0,0
249,0,0
25618,0,0
51690,1,0
16976,0,0
862,0,0
27281,0,0
74488,1,0
11555,0,0
21340,0,0
50570,1,0
69658,1,0
60972,1,0
55645,1,0
64931,1,0
27530,0,0
4480,0,0
56220,1,0
75033,1,0
8118,0,0
22173,0,0
29020,0,0
22742,0,0
53571,1,0
66985,1,0
1375,0,0
23842,0,0
2149,0,0
65889,1,0
10372,0,0
9730,0,0
43162,1,0
28268,0,0
69966,1,0
66254,1,0
42574,1,0
28746,0,0
58776,1,0
68730,1,0
67974,1,0
21100,0,0
63838,1,0
8033,0,0
27439,0,0
55098,1,0
21855,0,0
52680,1,0
39379,0,0
8710,0,0
54052,1,0
4777,0,0
56105,1,0
55228,1,0
4995,0,0
50983,1,0
41488,1,0
24339,0,0
28949,0,0
28157,0,0
41872,1,0
53561,1,0
3497,0,0
53842,1,0
41165,1,0
62245,1,0
7063,0,0
60459,1,0
39292,0,0
27239,0,0
61114,1,0
52220,1,0
9651,0,0
29617,0,0
8077,0,0
42049,1,0
77943,1,0
42540,1,0
66068,1,0
58681,1,0
52260,1,0
2106,0,0
69079,1,0
22150,0,0
69498,1,0
60258,1,0
77988,1,0
57896,1,0
54562,1,0
69189,1,0
78602,1,0
63916,1,0
65060,1,0
38998,0,0
27586,0,0
53506,1,0
44690,1,0
21381,0,0
42392,1,0
53270,1,0
69657,1,0
27230,0,0
22394,0,0
58319,1,0
22106,0,0
5059,0,0
27654,0,0
8502,0,0
4522,0,0
25919,0,0
24252,0,0
24907,0,0
2644,0,0
73515,1,0
29579,0,0
57938,1,0
25795,0,0
56728,1,0
22861,0,0
53791,1,0
61657,1,0
10844,0,0
40376,1,0
10890,0,0
22203,0,0
59188,1,0
54473,1,0
62347,1,0
21644,0,0
8972,0,0
22204,0,0
25259,0,0
65675,1,0
58850,1,0
4980,0,0
9148,0,0
55270,1,0
41869,1,0
62317,1,0
8042,0,0
8589,0,0
43602,1,0
56858,1,0
75097,1,0
62641,1,0
39939,0,0
39955,0,0
62616,1,0
27564,0,0
2762,0,0
77264,1,0
8226,0,0
74735,1,0
25172,0,0
23014,0,0
51829,1,0
79961,1,0
6575,0,0
52139,1,0
50353,1,0
64717,1,0
63549,1,0
11767,0,0
2372,0,0
52386,1,0
38996,0,0
25626,0,0
11906,0,0
78129,1,0
66721,1,0
24302,0,0
59037,1,0
57456,1,0
246,0,0
60756,1,0
64648,1,0
58222,1,0
25991,0,0
29819,0,0
39696,0,0
68248,1,0
27884,0,0
77323,1,0
9316,0,0
21607,0,0
51318,1,0
9182,0,0
51673,1,0
9673,0,0
59169,1,0
51834,1,0
62043,1,0
61167,1,0
27170,0,0
52620,1,0
44795,1,0
9037,0,0
51843,1,0
35947,0,0
65000,1,0
59725,1,0
58080,1,0
59863,1,0
44729,1,0
77009,1,0
44668,1,0
65757,1,0
62094,1,0
65415,1,0
5005,0,0
38444,0,0
42621,1,0
22017,0,0
42328,1,0
52211,1,0
26387,0,0
74023,1,0
39971,0,0
53782,1,0
66120,1,0
24891,0,0
62111,1,0
8820,0,0
54918,1,0
62728,1,0
17221,0,0
58510,1,0
74173,1,0
26045,0,0
75286,1,0
59277,1,0
24676,0,0
67690,1,0
43880,1,0
11959,0,0
2162,0,0
8871,0,0
4243,0,0
67935,1,0
43441,1,0
23818,0,0
25004,0,0
63311,1,0
6685,0,0
23282,0,0
24929,0,0
8879,0,0
50390,1,0
68782,1,0
55678,1,0
21404,0,0
54216,1,0
39476,0,0
59930,1,0
29543,0,0
63202,1,0
11950,0,0
55860,1,0
78576,1,0
65377,1,0
78697,1,0
74258,1,0
4300,0,0
59922,1,0
25377,0,0
51567,1,0
62469,1,0
53437,1,0
63279,1,0
62487,1,0
50820,1,0
42816,1,0
67120,1,0
51319,1,0
8124,0,0
56789,1,0
53604,1,0
7134,0,0
55769,1,0
78087,1,0
65558,1,0
75147,1,0
54618,1,0
42498,1,0
66691,1,0
22011,0,0
55502,1,0
50665,1,0
61168,1,0
39833,0,0
4635,0,0
2727,0,0
65004,1,0
9450,0,0
21593,0,0
65188,1,0
75248,1,0
26502,0,0
24566,0,0
28049,0,0
2554,0,0
56306,1,0
66290,1,0
57733,1,0
8507,0,0
53055,1,0
2376,0,0
64607,1,0
54714,1,0
57856,1,0
11016,0,0
25900,0,0
59888,1,0
28496,0,0
29047,0,0
67493,1,0
29935,0,0
24824,0,0
60523,1,0
10591,0,0
29236,0,0
9500,0,0
66026,1,0
22605,0,0
63867,1,0
50996,1,0
7789,0,0
10753,0,0
51875,1,0
10704,0,0
16993,0,0
21727,0,0
51424,1,0
66243,1,0
29912,0,0
68969,1,0
23296,0,0
65612,1,0
74273,1,0
56223,1,0
4566,0,0
6432,0,0
41296,1,0
63413,1,0
17044,0,0
20989,0,0
27577,0,0
62628,1,0
59519,1,0
2892,0,0
22996,0,0
41806,1,0
54306,1,0
6934,0,0
58550,1,0
54561,1,0
28548,0,0
22336,0,0
28819,0,0
67803,1,0
67776,1,0
69512,1,0
69716,1,0
61028,1,0
8404,0,0
52706,1,0
65363,1,0
9482,0,0
53533,1,0
8835,0,0
24950,0,0
69746,1,0
11432,0,0
3110,0,0
63617,1,0
42006,1,0
69812,1,0
49449,1,0
3894,0,0
21973,0,0
286,0,0
24717,0,0
64436,1,0
39179,0,0
22419,0,0
68651,1,0
66639,1,0
66297,1,0
3985,0,0
25426,0,0
53151,1,0
28513,0,0
62750,1,0
23613,0,0
63922,1,0
4337,0,0
50683,1,0
68179,1,0
74117,1,0
68929,1,0
10533,0,0
65198,1,0
74039,1,0
29293,0,0
28396,0,0
55280,1,0
4758,0,0
20390,0,0
2992,0,0
1045,0,0
67952,1,0
39570,0,0
43827,1,0
62230,1,0
60395,1,0
76995,1,0
4706,0,0
69848,1,0
52504,1,0
10485,0,0
39023,0,0
69593,1,0
74641,1,0
58874,1,0
53050,1,0
58878,1,0
2486,0,0
25150,0,0
51116,1,0
24323,0,0
53233,1,0
77135,1,0
51224,1,0
65821,1,0
65776,1,0
60689,1,0
27079,0,0
55189,1,0
57719,1,0
59848,1,0
67963,1,0
60862,1,0
69916,1,0
68149,1,0
65891,1,0
28231,0,0
8332,0,0
58467,1,0
74932,1,0
57930,1,0
23047,0,0
8215,0,0
64598,1,0
59772,1,0
195,0,0
66090,1,0
23709,0,0
77028,1,0
11770,0,0
78340,1,0
66027,1,0
64068,1,0
52478,1,0
51198,1,0
43586,1,0
7665,0,0
61948,1,0
68974,1,0
5007,0,0
62123,1,0
69262,1,0
67848,1,0
78487,1,0
42566,1,0
78338,1,0
78347,1,0
55019,1,0
57617,1,0
389,0,0
62802,1,0
59807,1,0
6117,0,0
8681,0,0
6702,0,0
55638,1,0
11267,0,0
74044,1,0
1253,0,0
62146,1,0
56478,1,0
60447,1,0
65042,1,0
90,0,0
10914,0,0
57015,1,0
51725,1,0
62777,1,0
58153,1,0
61757,1,0
53279,1,0
59485,1,0
28025,0,0
63181,1,0
21836,0,0
57878,1,0
24039,0,0
68401,1,0
21130,0,0
57694,1,0
21322,0,0
77880,1,0
56883,1,0
4446,0,0
6608,0,0
21263,0,0
11603,0,0
78118,1,0
38488,0,0
63281,1,0
26015,0,0
51380,1,0
9746,0,0
9577,0,0
73720,1,0
25460,0,0
53835,1,0
187,0,0
4440,0,0
23877,0,0
66439,1,0
39164,0,0
53132,1,0
64778,1,0
53589,1,0
6767,0,0
61747,1,0
23228,0,0
26028,0,0
43313,1,0
61451,1,0
58865,1,0
11062,0,0
68359,1,0
54970,1,0
4578,0,0
10646,0,0
69929,1,0
63957,1,0
68388,1,0
60509,1,0
53622,1,0
41010,1,0
29544,0,0
4674,0,0
42462,1,0
9636,0,0
28362,0,0
54010,1,0
58188,1,0
78082,1,0
25639,0,0
22942,0,0
77636,1,0
41082,1,0
3511,0,0
25625,0,0
9463,0,0
21974,0,0
69317,1,0
77202,1,0
4501,0,0
27293,0,0
27563,0,0
59595,1,0
39639,0,0
74309,1,0
11226,0,0
11203,0,0
39909,0,0
52133,1,0
8072,0,0
54348,1,0
40784,1,0
58045,1,0
24399,0,0
43509,1,0
52319,1,0
141,0,0
20881,0,0
38465,0,0
27957,0,0
22705,0,0
27583,0,0
39517,0,0
74422,1,0
66122,1,0
51152,1,0
67108,1,0
10741,0,0
39990,0,0
17158,0,0
25537,0,0
75038,1,0
10595,0,0
7207,0,0
41753,1,0
51139,1,0
13253,0,0
65477,1,0
41285,1,0
2634,0,0
53377,1,0
54359,1,0
22307,0,0
10856,0,0
709,0,0
65025,1,0
21493,0,0
41983,1,0
53753,1,0
55470,1,0
75337,1,0
20938,0,0
59971,1,0
56247,1,0
50924,1,0
58770,1,0
3973,0,0
6049,0,0
57808,1,0
29279,0,0
25818,0,0
53743,1,0
7780,0,0
65089,1,0
68317,1,0
51747,1,0
28505,0,0
4327,0,0
23478,0,0
21205,0,0
375,0,0
42157,1,0
3900,0,0
65317,1,0
55606,1,0
57248,1,0
11196,0,0
65475,1,0
1480,0,0
61231,1,0
39761,0,0
9905,0,0
2135,0,0
2177,0,0
60896,1,0
68891,1,0
67581,1,0
64747,1,0
77074,1,0
3994,0,0
42881,1,0
61958,1,0
57921,1,0
75228,1,0
52295,1,0
68604,1,0
3774,0,0
56291,1,0
55753,1,0
42860,1,0
57506,1,0
979,0,0
78656,1,0
11947,0,0
28133,0,0
57728,1,0
9187,0,0
5539,0,0
26118,0,0
42019,1,0
69442,1,0
67558,1,0
60719,1,0
57349,1,0
67703,1,0
62009,1,0
28016,0,0
1390,0,0
65107,1,0
50748,1,0
11995,0,0
78660,1,0
3444,0,0
58338,1,0
75447,1,0
64508,1,0
6491,0,0
58664,1,0
60822,1,0
29191,0,0
39374,0,0
65872,1,0
66651,1,0
29302,0,0
50937,1,0
23829,0,0
2074,0,0
77360,1,0
74839,1,0
56213,1,0
53076,1,0
62963,1,0
56781,1,0
62101,1,0
68541,1,0
39333,0,0
42715,1,0
62480,1,0
65730,1,0
55268,1,0
9292,0,0
53651,1,0
74887,1,0
63251,1,0
21581,0,0
67140,1,0
29898,0,0
24432,0,0
67693,1,0
53008,1,0
73065,1,0
51016,1,0
58418,1,0
60968,1,0
10749,0,0
65640,1,0
1215,0,0
41186,1,0
21547,0,0
69129,1,0
10793,0,0
59672,1,0
51182,1,0
67114,1,0
60365,1,0
69863,1,0
63063,1,0
38476,0,0
28183,0,0
58229,1,0
42070,1,0
2629,0,0
62838,1,0
9164,0,0
56831,1,0
42210,1,0
24795,0,0
64552,1,0
53229,1,0
42437,1,0
54149,1,0
57155,1,0
2314,0,0
9475,0,0
51603,1,0
62000,1,0
436,0,0
73798,1,0
635,0,0
59131,1,0
66807,1,0
62673,1,0
43639,1,0
77498,1,0
7835,0,0
64646,1,0
63861,1,0
23197,0,0
66697,1,0
10959,0,0
74776,1,0
3538,0,0
4692,0,0
42889,1,0
55858,1,0
52715,1,0
43217,1,0
29391,0,0
10825,0,0
67687,1,0
41712,1,0
68114,1,0
9033,0,0
75115,1,0
51473,1,0
51201,1,0
22192,0,0
64667,1,0
57757,1,0
53283,1,0
66456,1,0
29516,0,0
3066,0,0
6374,0,0
4109,0,0
1492,0,0
60901,1,0
41141,1,0
54996,1,0
940,0,0
54395,1,0
53431,1,0
9265,0,0
8325,0,0
22662,0,0
25848,0,0
59126,1,0
29705,0,0
28134,0,0
65925,1,0
63556,1,0
53672,1,0
43224,1,0
39366,0,0
893,0,0
54990,1,0
22911,0,0
57732,1,0
55758,1,0
75387,1,0
68735,1,0
609,0,0
69121,1,0
41706,1,0
26010,0,0
41676,1,0
24231,0,0
63950,1,0
23663,0,0
40918,1,0
23470,0,0
51242,1,0
7804,0,0
54464,1,0
57180,1,0
9128,0,0
68721,1,0
78693,1,0
21426,0,0
78478,1,0
62931,1,0
55946,1,0
68955,1,0
74812,1,0
8788,0,0
16926,0,0
58875,1,0
54828,1,0
76238,1,0
41850,1,0
39779,0,0
9307,0,0
66660,1,0
60496,1,0
66644,1,0
57616,1,0
53926,1,0
68096,1,0
41731,1,0
51557,1,0
43203,1,0
39742,0,0
51054,1,0
27633,0,0
69296,1,0
58354,1,0
57199,1,0
6640,0,0
22824,0,0
10934,0,0
42264,1,0
43410,1,0
25619,0,0
21037,0,0
4675,0,0
69405,1,0
12100,0,0
63994,1,0
24519,0,0
53487,1,0
28950,0,0
67004,1,0
61274,1,0
43603,1,0
58635,1,0
23537,0,0
39872,0,0
12219,0,0
56975,1,0
119,0,0
2704,0,0
23120,0,0
53586,1,0
51015,1,0
54599,1,0
43427,1,0
69424,1,0
27745,0,0
59413,1,0
56094,1,0
25108,0,0
55187,1,0
50717,1,0
42356,1,0
69861,1,0
66860,1,0
53219,1,0
20925,0,0
39561,0,0
54062,1,0
78055,1,0
2746,0,0
28322,0,0
40978,1,0
78796,1,0
51150,1,0
74227,1,0
4586,0,0
68525,1,0
65854,1,0
27629,0,0
65721,1,0
51930,1,0
28758,0,0
55797,1,0
56273,1,0
55783,1,0
27994,0,0
54257,1,0
44208,1,0
67164,1,0
28602,0,0
25397,0,0
23440,0,0
1756,0,0
57244,1,0
40715,1,0
11944,0,0
60324,1,0
67999,1,0
9802,0,0
41769,1,0
52888,1,0
67476,1,0
