,z,cluster
79613,1,3
28494,0,3
23322,0,3
1189,0,3
78809,1,3
13001,0,3
78968,1,3
1857,0,3
18069,0,3
18185,0,3
79787,1,3
79237,1,3
79665,1,3
17782,0,3
17511,0,3
17869,0,3
79466,1,3
79567,1,3
78919,1,3
79838,1,3
79641,1,3
18040,0,3
79865,1,3
17722,0,3
17475,0,3
1322,0,3
1897,0,3
17764,0,3
17835,0,3
18042,0,3
17870,0,3
79484,1,3
17677,0,3
18125,0,3
21097,0,3
79218,1,3
1833,0,3
1924,0,3
79862,1,3
17895,0,3
79411,1,3
78900,1,3
79520,1,3
79841,1,3
18233,0,3
17539,0,3
1817,0,3
16837,0,3
17665,0,3
79826,1,3
79432,1,3
17425,0,3
77049,1,3
79977,1,3
79646,1,3
79621,1,3
1202,0,3
78998,1,3
1847,0,3
75087,1,3
79757,1,3
79737,1,3
79975,1,3
77285,1,3
79256,1,3
17443,0,3
17912,0,3
17546,0,3
28937,0,3
79275,1,3
24969,0,3
79401,1,3
79618,1,3
79094,1,3
79134,1,3
79203,1,3
17780,0,3
17783,0,3
79571,1,3
79524,1,3
79644,1,3
17886,0,3
18101,0,3
17641,0,3
17857,0,3
17726,0,3
79649,1,3
79183,1,3
79383,1,3
79006,1,3
17537,0,3
79103,1,3
79652,1,3
78054,1,3
18184,0,3
17702,0,3
79310,1,3
79064,1,3
17905,0,3
79859,1,3
29092,0,3
1782,0,3
79485,1,3
1387,0,3
79599,1,3
79858,1,3
79053,1,3
1292,0,3
1818,0,3
78051,1,3
17536,0,3
78903,1,3
79783,1,3
79327,1,3
17698,0,3
78843,1,3
79181,1,3
17770,0,3
79213,1,3
79872,1,3
17430,0,3
17825,0,3
78956,1,3
75749,1,3
17655,0,3
17968,0,3
79498,1,3
79781,1,3
78825,1,3
17874,0,3
78946,1,3
79514,1,3
79943,1,3
79143,1,3
17716,0,3
1283,0,3
78871,1,3
17427,0,3
78932,1,3
74798,1,3
79075,1,3
17620,0,3
79124,1,3
79396,1,3
79246,1,3
78824,1,3
21791,0,3
17759,0,3
17961,0,3
1936,0,3
79535,1,3
79842,1,3
1832,0,3
17844,0,3
75091,1,3
1843,0,3
1183,0,3
76245,1,3
79922,1,3
18058,0,3
78989,1,3
1855,0,3
79248,1,3
1792,0,3
17462,0,3
18053,0,3
44821,1,3
79418,1,3
1871,0,3
79791,1,3
1808,0,3
18163,0,3
78979,1,3
18006,0,3
79267,1,3
79993,1,3
79756,1,3
18032,0,3
17547,0,3
78844,1,3
79228,1,3
1303,0,3
79487,1,3
79819,1,3
17978,0,3
79416,1,3
1207,0,3
17843,0,3
17406,0,3
63216,1,3
79867,1,3
17559,0,3
17542,0,3
17971,0,3
1203,0,3
18229,0,3
44809,1,3
17407,0,3
79390,1,3
17439,0,3
1173,0,3
78945,1,3
1193,0,3
1799,0,3
17750,0,3
1839,0,3
17810,0,3
17630,0,3
78952,1,3
79060,1,3
18021,0,3
78810,1,3
18061,0,3
79458,1,3
17883,0,3
79506,1,3
79617,1,3
79818,1,3
79994,1,3
75964,1,3
79797,1,3
17990,0,3
79259,1,3
79233,1,3
79113,1,3
17952,0,3
79849,1,3
79847,1,3
79164,1,3
79173,1,3
79297,1,3
78990,1,3
17435,0,3
1790,0,3
79519,1,3
79155,1,3
1312,0,3
18036,0,3
79736,1,3
18171,0,3
21522,0,3
18029,0,3
78986,1,3
79431,1,3
79564,1,3
1787,0,3
17460,0,3
17621,0,3
1865,0,3
79591,1,3
17478,0,3
79568,1,3
17751,0,3
78955,1,3
17723,0,3
17946,0,3
79528,1,3
17800,0,3
17465,0,3
77494,1,3
79887,1,3
79909,1,3
17965,0,3
