,z,cluster
18257,0,1
18657,0,1
19346,0,1
19548,0,1
19729,0,1
18430,0,1
19584,0,1
19767,0,1
18218,0,1
19809,0,1
19747,0,1
18526,0,1
19617,0,1
18481,0,1
18530,0,1
19588,0,1
19983,0,1
18586,0,1
19537,0,1
18238,0,1
19923,0,1
19867,0,1
19819,0,1
19554,0,1
19351,0,1
18212,0,1
18496,0,1
18179,0,1
18137,0,1
19915,0,1
18578,0,1
19512,0,1
19776,0,1
19638,0,1
19719,0,1
18398,0,1
18255,0,1
19521,0,1
19891,0,1
19889,0,1
18432,0,1
18294,0,1
19835,0,1
19519,0,1
19743,0,1
19671,0,1
19904,0,1
19427,0,1
19696,0,1
18465,0,1
18197,0,1
18608,0,1
19387,0,1
18408,0,1
18454,0,1
19559,0,1
18618,0,1
19048,0,1
19544,0,1
19961,0,1
18301,0,1
18382,0,1
19880,0,1
19939,0,1
18321,0,1
19699,0,1
19940,0,1
18354,0,1
18442,0,1
19838,0,1
19399,0,1
19811,0,1
18694,0,1
19629,0,1
18213,0,1
19752,0,1
19526,0,1
19687,0,1
18428,0,1
18387,0,1
19837,0,1
19706,0,1
19589,0,1
19384,0,1
18478,0,1
18595,0,1
18517,0,1
18507,0,1
18166,0,1
18655,0,1
19802,0,1
19920,0,1
19863,0,1
18619,0,1
18276,0,1
18347,0,1
18573,0,1
18532,0,1
19851,0,1
18315,0,1
19883,0,1
19388,0,1
18381,0,1
19676,0,1
19728,0,1
19536,0,1
19684,0,1
36696,0,1
18287,0,1
18323,0,1
19587,0,1
19924,0,1
19653,0,1
19823,0,1
18563,0,1
19784,0,1
19627,0,1
18575,0,1
19665,0,1
18340,0,1
18403,0,1
19704,0,1
36790,0,1
19609,0,1
18234,0,1
36787,0,1
18688,0,1
18460,0,1
19902,0,1
19555,0,1
19420,0,1
19607,0,1
19485,0,1
19864,0,1
19517,0,1
18348,0,1
19824,0,1
19931,0,1
19493,0,1
19657,0,1
19664,0,1
19703,0,1
18632,0,1
18160,0,1
19698,0,1
18472,0,1
19780,0,1
19599,0,1
19413,0,1
19813,0,1
18549,0,1
18712,0,1
19730,0,1
19700,0,1
19841,0,1
18313,0,1
19647,0,1
19749,0,1
19725,0,1
19602,0,1
19681,0,1
19439,0,1
18606,0,1
18448,0,1
18533,0,1
19993,0,1
19349,0,1
18682,0,1
18433,0,1
18557,0,1
19886,0,1
19573,0,1
19381,0,1
18223,0,1
19854,0,1
18451,0,1
18607,0,1
18411,0,1
19397,0,1
18512,0,1
19679,0,1
19489,0,1
19604,0,1
19701,0,1
18488,0,1
18400,0,1
19779,0,1
18388,0,1
19592,0,1
19787,0,1
19690,0,1
18479,0,1
18691,0,1
18198,0,1
19414,0,1
18508,0,1
18417,0,1
18392,0,1
18692,0,1
19595,0,1
18195,0,1
18443,0,1
19490,0,1
18677,0,1
18537,0,1
18653,0,1
18678,0,1
18385,0,1
18327,0,1
19994,0,1
19654,0,1
19731,0,1
19603,0,1
19656,0,1
