,z,cluster
71219,1,9
73609,1,9
71253,1,9
31303,0,9
71658,1,9
73008,1,9
32850,0,9
36189,0,9
31297,0,9
60034,1,9
73596,1,9
31333,0,9
73400,1,9
38526,0,9
31177,0,9
73454,1,9
40533,1,9
37634,0,9
31335,0,9
31000,0,9
31340,0,9
73398,1,9
31347,0,9
71231,1,9
31344,0,9
31178,0,9
31345,0,9
71242,1,9
35886,0,9
73589,1,9
37651,0,9
73465,1,9
37623,0,9
73140,1,9
37659,0,9
70296,1,9
71226,1,9
73057,1,9
31175,0,9
73461,1,9
71233,1,9
31346,0,9
31352,0,9
73622,1,9
31337,0,9
36252,0,9
20324,0,9
37616,0,9
20790,0,9
37635,0,9
30952,0,9
35200,0,9
31181,0,9
73032,1,9
73011,1,9
37138,0,9
73513,1,9
