,z,cluster
12671,0,4
12817,0,4
12311,0,4
12465,0,4
12947,0,4
12505,0,4
12507,0,4
12464,0,4
13177,0,4
12315,0,4
12675,0,4
12955,0,4
12995,0,4
12380,0,4
12771,0,4
12877,0,4
12494,0,4
13101,0,4
12245,0,4
12712,0,4
12512,0,4
13008,0,4
12443,0,4
12271,0,4
12399,0,4
13063,0,4
12453,0,4
13122,0,4
12643,0,4
12684,0,4
12723,0,4
12343,0,4
12362,0,4
12520,0,4
12823,0,4
12602,0,4
12899,0,4
13045,0,4
12419,0,4
12934,0,4
12923,0,4
12513,0,4
12677,0,4
12600,0,4
12750,0,4
12358,0,4
13095,0,4
12561,0,4
12276,0,4
12940,0,4
12609,0,4
12739,0,4
12942,0,4
13092,0,4
13151,0,4
12361,0,4
13141,0,4
12487,0,4
12972,0,4
12984,0,4
12855,0,4
13152,0,4
12270,0,4
12556,0,4
12778,0,4
16207,0,4
12420,0,4
12910,0,4
13146,0,4
12533,0,4
13030,0,4
13256,0,4
13235,0,4
12252,0,4
13024,0,4
12463,0,4
12624,0,4
13142,0,4
12287,0,4
12354,0,4
12409,0,4
13212,0,4
13225,0,4
12906,0,4
12724,0,4
13239,0,4
12427,0,4
12720,0,4
12802,0,4
12258,0,4
12761,0,4
12352,0,4
12291,0,4
12324,0,4
12612,0,4
12350,0,4
12735,0,4
32231,0,4
1130,0,4
12476,0,4
12898,0,4
13193,0,4
12811,0,4
49853,1,4
12970,0,4
13129,0,4
12941,0,4
12412,0,4
12488,0,4
12614,0,4
12688,0,4
62203,1,4
12841,0,4
12454,0,4
12868,0,4
12407,0,4
12652,0,4
13081,0,4
12501,0,4
13000,0,4
12449,0,4
12580,0,4
12663,0,4
12450,0,4
12282,0,4
13173,0,4
12496,0,4
13140,0,4
12911,0,4
12679,0,4
13240,0,4
12244,0,4
12620,0,4
13032,0,4
12523,0,4
12607,0,4
12272,0,4
12650,0,4
12589,0,4
12768,0,4
12411,0,4
12730,0,4
13138,0,4
12370,0,4
12369,0,4
13137,0,4
12813,0,4
12481,0,4
12333,0,4
12628,0,4
12576,0,4
12573,0,4
12316,0,4
12586,0,4
12856,0,4
13105,0,4
13182,0,4
12618,0,4
12728,0,4
13076,0,4
12514,0,4
13097,0,4
12483,0,4
12599,0,4
12883,0,4
12480,0,4
12930,0,4
13057,0,4
12786,0,4
13113,0,4
12428,0,4
13178,0,4
13022,0,4
12616,0,4
12424,0,4
12331,0,4
13184,0,4
12605,0,4
12920,0,4
12805,0,4
12302,0,4
